Metagenome	Bin Name	Completeness	Contamination	Domain	Phylum	Class	Order	Family	Genus	Species	BinContigLenSum	gcMean
A3	bin.055	39.81	0	Bacteria	Acidobacteriota	Vicinamibacteria	Fen-336	Fen-336			599499	68
A3	bin.056	32.76	7.76	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Trinickia		1022211	64
A3	bin.057	0	0	NA	NA	NA	NA	NA	NA	NA	260976	39
A3	bin.058	95.5	3.24	Bacteria	Dormibacterota	Dormibacteria	CF-121				2541072	72
A3	bin.059	78.81	2.4	Archaea	Thermoplasmatota	SW-10-69-26					1688881	71
A3	bin.060	91.38	90.39	Bacteria	Acidobacteriota	Acidobacteriae	UBA7541	UBA7541			5669863	58
A3	bin.061	71.84	0	Bacteria	Patescibacteria	Paceibacteria	UBA9983_A	UBA2163	C7867-001		617353	50
A3	bin.062	0	0	NA	NA	NA	NA	NA	NA	NA	284914	62
A3	bin.063	69.59	5.11	Bacteria	Acidobacteriota	Thermoanaerobaculia	UBA5704	UBA5704			5950640	71
A3	bin.064	70.89	38.04	Bacteria	Patescibacteria	Microgenomatia	Levybacterales	UBA12049			1703232	36
A3	bin.065	3.45	0	NA	NA	NA	NA	NA	NA	NA	57939	43
A3	bin.066	66.33	4.63	Bacteria	Patescibacteria	Saccharimonadia	UBA4664	UBA4664			759044	51
A3	bin.067	0	0	NA	NA	NA	NA	NA	NA	NA	27073	70
A3	bin.068	66.6	34.21	Bacteria	Myxococcota	Myxococcia	Myxococcales	40CM-4-68-19	40CM-4-68-19		2484169	69
A3	bin.069	61.53	1.12	Bacteria	Elusimicrobiota	Elusimicrobia	2-01-FULL-59-12	2-01-FULL-59-12			901770	55
A3	bin.070	99.06	1000.21	NA	NA	NA	NA	NA	NA	NA	45416467	57
A3	bin.071	3.51	0	NA	NA	NA	NA	NA	NA	NA	204580	59
A3	bin.072	89.74	5.13	Bacteria	Acidobacteriota	Blastocatellia	UBA7656	UBA7656			8028245	57
A3	bin.073	10.34	0	NA	NA	NA	NA	NA	NA	NA	21121	64
A3	bin.074	59.57	0	Bacteria	Patescibacteria	Doudnabacteria	UBA920	UBA920			767423	50
A3	bin.075	20.86	0	Bacteria	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	RAAP-2	Bog-473		122815	65
A3	bin.076	32.16	0	Bacteria	Patescibacteria	Paceibacteria	UBA6257	2-01-FULL-56-20			162524	52
A3	bin.077	25.86	0	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae			374610	62
A3	bin.078	59.71	0	Bacteria	Eremiobacterota	Eremiobacteria	Baltobacterales	Baltobacteraceae			856275	58
A3	bin.079	75.28	93.4	Bacteria	Dormibacterota	Dormibacteria	Dormibacterales	Dormibacteraceae			8448343	65
A3	bin.080	8.19	0	Bacteria	Patescibacteria	Dojkabacteria	B142				44876	33
A3	bin.081	63.53	0	Bacteria	Patescibacteria	Microgenomatia	GWA2-44-7	UBA8517			857225	37
A3	bin.082	75.25	4.4	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Fen-1231		3424673	63
A3	bin.083	58.45	2.76	Bacteria	Dependentiae	Babeliae	Babeliales	UBA12411			845963	40
A3	bin.084	96.55	56.36	Bacteria	Actinobacteriota	Acidimicrobiia	Acidimicrobiales				4860287	68
A3	bin.085	0	0	NA	NA	NA	NA	NA	NA	NA	182762	27
A3	bin.086	78.18	1.82	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Palsa-1315	Palsa-1315 sp005887945	2730713	56
A3	bin.087	70.76	2.38	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	GWC2-71-9	SHZT01		1521699	64
A3	bin.088	16.72	0	Bacteria	Eremiobacterota	Eremiobacteria	Baltobacterales	Baltobacteraceae	Aquilonibacter		162882	58
A3	bin.089	70.63	39.28	Bacteria	Acidobacteriota	Thermoanaerobaculia	UBA5704	UBA5704			3154881	66
A3	bin.090	86.15	1.35	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	Lacunisphaera	Lacunisphaera sp900104925	3491157	65
A3	bin.091	63.19	1.98	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	UBA4765	UBA4765		797587	57
A3	bin.092	6.03	0	NA	NA	NA	NA	NA	NA	NA	34178	58
A3	bin.093	82.82	11.46	Bacteria	Acidobacteriota	Acidobacteriae	UBA7541	UBA7541	UBA7541		5384652	57
A3	bin.094	91.3	0.81	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter		3807407	44
A3	bin.095	91.7	1.22	Bacteria	Bacteroidota	Bacteroidia	AKYH767	Palsa-965	Palsa-965		3770981	44
A3	bin.096	9.12	0	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	13-2-20CM-66-19		384240	67
A3	bin.097	22.97	0	Bacteria	Bdellovibrionota	Bdellovibrionia_A	CAIPTA01	CAIPTA01			195809	55
A3	bin.098	99.69	459.67	NA	NA	NA	NA	NA	NA	NA	20072588	62
A3	bin.099	45.69	11.21	Bacteria	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	CADCTF01			500629	68
A3	bin.100	83.78	41.38	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Koribacteraceae	JABCYV01		10824194	56
