locus_tag	ftype	length_bp	gene	EC_number	COG	product
FGCHFFMF_00741	CDS	2349	topA	5.6.2.1		DNA topoisomerase 1
FGCHFFMF_00742	CDS	1116				hypothetical protein
FGCHFFMF_00743	CDS	2154	ftsA_1			Cell division protein FtsA
FGCHFFMF_00744	CDS	612	cheC_1	3.-.-.-	COG1776	CheY-P phosphatase CheC
FGCHFFMF_00745	CDS	1950	cheA	2.7.13.3	COG0643	Chemotaxis protein CheA
FGCHFFMF_00746	CDS	1047	cheB_2	3.1.1.61	COG2201	Protein-glutamate methylesterase/protein-glutamine glutaminase
FGCHFFMF_00747	CDS	366	cheY_1		COG0784	Chemotaxis protein CheY
FGCHFFMF_00748	CDS	501	cheW		COG0835	Chemotaxis protein CheW
FGCHFFMF_00749	CDS	1287	mcpB		COG0840	Methyl-accepting chemotaxis protein McpB
FGCHFFMF_00750	CDS	495	cheD	3.5.1.44	COG1871	Chemoreceptor glutamine deamidase CheD
FGCHFFMF_00751	CDS	630	cheC_2	3.-.-.-	COG1776	CheY-P phosphatase CheC
FGCHFFMF_00752	CDS	366	cheY_2		COG0784	Chemotaxis protein CheY
FGCHFFMF_00753	CDS	336	glnB_2		COG0347	Nitrogen regulatory protein P-II
FGCHFFMF_00754	CDS	1584	bepA_1	3.4.-.-		Beta-barrel assembly-enhancing protease
FGCHFFMF_00755	CDS	654				hypothetical protein
FGCHFFMF_00756	CDS	1176	bepA_2	3.4.-.-		Beta-barrel assembly-enhancing protease
FGCHFFMF_00757	CDS	834	cheR	2.1.1.80		Chemotaxis protein methyltransferase
FGCHFFMF_00758	CDS	1764				hypothetical protein
FGCHFFMF_00759	CDS	474				hypothetical protein
FGCHFFMF_00760	CDS	2301	cpoB_4			Cell division coordinator CpoB
FGCHFFMF_00761	CDS	876	prmC	2.1.1.297		Release factor glutamine methyltransferase
FGCHFFMF_00762	CDS	1074	prfA		COG0216	Peptide chain release factor 1
FGCHFFMF_00763	CDS	216	rpmE		COG0254	50S ribosomal protein L31
FGCHFFMF_00764	CDS	1260	rho	3.6.4.-	COG1158	Transcription termination factor Rho
FGCHFFMF_00765	CDS	1461				hypothetical protein
FGCHFFMF_00766	CDS	1443				hypothetical protein
FGCHFFMF_00767	CDS	1194				hypothetical protein
FGCHFFMF_00768	CDS	867	rny_1	3.1.-.-		Ribonuclease Y
FGCHFFMF_00769	CDS	573	coaE	2.7.1.24		Dephospho-CoA kinase
FGCHFFMF_00770	CDS	2700	polA	2.7.7.7		DNA polymerase I, thermostable
FGCHFFMF_00771	CDS	831				hypothetical protein
FGCHFFMF_00772	CDS	849				hypothetical protein
FGCHFFMF_00773	CDS	2112				hypothetical protein
FGCHFFMF_00774	CDS	1008	oppF		COG4608	Oligopeptide transport ATP-binding protein OppF
FGCHFFMF_00775	CDS	690	gyrA	5.6.2.2	COG0188	DNA gyrase subunit A
FGCHFFMF_00776	CDS	2835	sasA_3	2.7.-.-		Adaptive-response sensory-kinase SasA
FGCHFFMF_00777	CDS	381	thiE_1	2.5.1.3		Thiamine-phosphate synthase
FGCHFFMF_00778	CDS	696	thiE_2	2.5.1.3		Thiamine-phosphate synthase
FGCHFFMF_00779	CDS	1140	braC		COG0683	Leucine-, isoleucine-, valine-, threonine-, and alanine-binding protein
FGCHFFMF_00780	CDS	1752				hypothetical protein
FGCHFFMF_00781	CDS	1734	epsE		COG2804	Type II secretion system protein E
FGCHFFMF_00782	CDS	516	rssB_5			Regulator of RpoS
FGCHFFMF_00783	CDS	1416				hypothetical protein
FGCHFFMF_00784	CDS	1173	galK	2.7.1.6	COG0153	Galactokinase
FGCHFFMF_00785	CDS	342		3.9.1.-	COG0537	Purine nucleoside phosphoramidase
FGCHFFMF_00786	CDS	195	rpsU		COG0828	30S ribosomal protein S21
FGCHFFMF_00787	CDS	447	yqeY		COG1610	putative protein YqeY
FGCHFFMF_00788	CDS	1869	dnaG	2.7.7.-	COG0358	DNA primase
FGCHFFMF_00789	CDS	1851	rpoD		COG0568	RNA polymerase sigma factor RpoD
FGCHFFMF_00790	CDS	549				hypothetical protein
FGCHFFMF_00791	CDS	393				hypothetical protein
FGCHFFMF_00792	CDS	771				hypothetical protein
FGCHFFMF_00793	CDS	1173				hypothetical protein
FGCHFFMF_00794	CDS	2454				hypothetical protein
FGCHFFMF_00795	CDS	3015				hypothetical protein
FGCHFFMF_00796	CDS	3273	recB	3.1.11.5		RecBCD enzyme subunit RecB
FGCHFFMF_00797	CDS	477				hypothetical protein
FGCHFFMF_00798	CDS	1560	vnfA		COG3604	Nitrogen fixation protein VnfA
FGCHFFMF_00799	CDS	825	nifH1	1.18.6.1		Nitrogenase iron protein 1
FGCHFFMF_00800	CDS	357	glnB_3		COG0347	Nitrogen regulatory protein P-II
FGCHFFMF_00801	CDS	381	glnB_4		COG0347	Nitrogen regulatory protein P-II
FGCHFFMF_00802	CDS	1620	nifD_1	1.18.6.1		Nitrogenase molybdenum-iron protein alpha chain
FGCHFFMF_00803	CDS	1377	nifK_1	1.18.6.1		Nitrogenase molybdenum-iron protein beta chain
FGCHFFMF_00804	CDS	1356	nifD_2	1.18.6.1		Nitrogenase molybdenum-iron protein alpha chain
FGCHFFMF_00805	CDS	1395	nifK_2	1.18.6.1		Nitrogenase molybdenum-iron protein beta chain
FGCHFFMF_00806	CDS	1260	nifB	4.-.-.-	COG0535	FeMo cofactor biosynthesis protein NifB
FGCHFFMF_00807	CDS	309				Ferredoxin, 2Fe-2S
FGCHFFMF_00808	CDS	228				hypothetical protein
FGCHFFMF_00809	CDS	768	modA		COG0725	Molybdate-binding protein ModA
FGCHFFMF_00810	CDS	684	modB		COG4149	Molybdenum transport system permease protein ModB
FGCHFFMF_00811	CDS	732	cysA_1	7.3.2.3	COG1118	Sulfate/thiosulfate import ATP-binding protein CysA
FGCHFFMF_00812	CDS	1830				hypothetical protein
FGCHFFMF_00813	CDS	786				hypothetical protein
FGCHFFMF_00814	CDS	975	accA	2.1.3.15	COG0825	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
FGCHFFMF_00815	CDS	747	amiC	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase AmiC
FGCHFFMF_00816	CDS	558				hypothetical protein
FGCHFFMF_00817	CDS	2661	valS	6.1.1.9	COG0525	Valine--tRNA ligase
FGCHFFMF_00818	CDS	735				hypothetical protein
FGCHFFMF_00819	CDS	864	nadC	2.4.2.19	COG0157	Nicotinate-nucleotide pyrophosphorylase [carboxylating]
FGCHFFMF_00820	CDS	798	birA	6.3.4.15	COG0340	Bifunctional ligase/repressor BirA
FGCHFFMF_00821	CDS	1074				hypothetical protein
FGCHFFMF_00822	CDS	861	ispH	1.17.7.4	COG0761	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
FGCHFFMF_00823	CDS	1704	ilvB	2.2.1.6	COG0028	Acetolactate synthase large subunit
FGCHFFMF_00824	CDS	819				hypothetical protein
FGCHFFMF_00825	CDS	612				hypothetical protein
FGCHFFMF_00826	CDS	300	trxA_1		COG0526	Thioredoxin
FGCHFFMF_00827	CDS	1167	mutY	3.2.2.31		Adenine DNA glycosylase
FGCHFFMF_00828	CDS	786				hypothetical protein
FGCHFFMF_00829	CDS	591	carQ		COG1595	RNA polymerase sigma factor CarQ
FGCHFFMF_00830	CDS	579				hypothetical protein
FGCHFFMF_00831	CDS	1068				hypothetical protein
FGCHFFMF_00832	CDS	534				hypothetical protein
FGCHFFMF_00833	CDS	3507	metH	2.1.1.13	COG0646	Methionine synthase
FGCHFFMF_00834	CDS	1572	ppx	3.6.1.11	COG0248	Exopolyphosphatase
FGCHFFMF_00835	CDS	825	suhB	3.1.3.25	COG0483	Inositol-1-monophosphatase
FGCHFFMF_00836	CDS	1971	yheS		COG0488	putative ABC transporter ATP-binding protein YheS
FGCHFFMF_00837	CDS	1032	ccr	1.3.1.85	COG0604	Crotonyl-CoA carboxylase/reductase
FGCHFFMF_00838	CDS	1110	gcvT	2.1.2.10	COG0404	Aminomethyltransferase
FGCHFFMF_00839	CDS	381	gcvH		COG0509	Glycine cleavage system H protein
FGCHFFMF_00840	CDS	1368	gcvPA	1.4.4.2	COG0403	putative glycine dehydrogenase (decarboxylating) subunit 1
FGCHFFMF_00841	CDS	1461	gcvPB	1.4.4.2		putative glycine dehydrogenase (decarboxylating) subunit 2
FGCHFFMF_00842	CDS	801	lipM	2.3.1.181	COG0095	Octanoyltransferase LipM
FGCHFFMF_00843	CDS	228				hypothetical protein
FGCHFFMF_00844	CDS	555	bcp_2	1.11.1.15	COG1225	Putative peroxiredoxin bcp
FGCHFFMF_00845	CDS	333	queD	4.1.2.50	COG0720	6-carboxy-5,6,7,8-tetrahydropterin synthase
FGCHFFMF_00846	CDS	342				hypothetical protein
FGCHFFMF_00847	CDS	1263				hypothetical protein
FGCHFFMF_00848	CDS	813				hypothetical protein
FGCHFFMF_00849	CDS	1008				hypothetical protein
FGCHFFMF_00850	CDS	738				hypothetical protein
FGCHFFMF_00851	CDS	156				hypothetical protein
FGCHFFMF_00852	CDS	144				hypothetical protein
FGCHFFMF_00853	CDS	159				hypothetical protein
FGCHFFMF_00854	CDS	1203				hypothetical protein
FGCHFFMF_00855	CDS	2202				hypothetical protein
FGCHFFMF_00856	CDS	600	recO			DNA repair protein RecO
FGCHFFMF_00857	CDS	753	drrA	3.6.3.-		Daunorubicin/doxorubicin resistance ATP-binding protein DrrA
FGCHFFMF_00858	CDS	1707				hypothetical protein
FGCHFFMF_00859	CDS	543	pal			Peptidoglycan-associated lipoprotein
FGCHFFMF_00860	CDS	2172	pbpG		COG0744	Penicillin-binding protein 2D
FGCHFFMF_00861	CDS	870				hypothetical protein
FGCHFFMF_00862	tRNA	76				tRNA-Phe(gaa)
FGCHFFMF_00863	tRNA	73				tRNA-Thr(cgt)
FGCHFFMF_00864	CDS	276	rpsP		COG0228	30S ribosomal protein S16
FGCHFFMF_00865	CDS	240				hypothetical protein
FGCHFFMF_00866	CDS	525	rimM		COG0806	Ribosome maturation factor RimM
FGCHFFMF_00867	CDS	765	trmD	2.1.1.228		tRNA (guanine-N(1)-)-methyltransferase
FGCHFFMF_00868	CDS	456				hypothetical protein
FGCHFFMF_00869	CDS	642	rnhB	3.1.26.4	COG0164	Ribonuclease HII
FGCHFFMF_00870	CDS	375				hypothetical protein
FGCHFFMF_00871	CDS	747				hypothetical protein
FGCHFFMF_00872	CDS	528	rsfS			Ribosomal silencing factor RsfS
FGCHFFMF_00873	rRNA	1549				16S ribosomal RNA
FGCHFFMF_00874	tRNA	77				tRNA-Ile(gat)
FGCHFFMF_00875	tRNA	76				tRNA-Ala(tgc)
FGCHFFMF_00876	rRNA	3020				23S ribosomal RNA
FGCHFFMF_00877	rRNA	111				5S ribosomal RNA
FGCHFFMF_00878	CDS	1383		3.1.-.-	COG1236	Ribonuclease
FGCHFFMF_00879	CDS	2214				hypothetical protein
FGCHFFMF_00880	CDS	747			COG0217	putative transcriptional regulatory protein
FGCHFFMF_00881	CDS	1770	mutL		COG0323	DNA mismatch repair protein MutL
FGCHFFMF_00882	CDS	918	miaA	2.5.1.75	COG0324	tRNA dimethylallyltransferase
FGCHFFMF_00883	CDS	1380				hypothetical protein
FGCHFFMF_00884	CDS	1029	cpoA	2.4.1.-	COG0438	Alpha-galactosylglucosyldiacylglycerol synthase
FGCHFFMF_00885	CDS	1539				hypothetical protein
FGCHFFMF_00886	CDS	2214				hypothetical protein
FGCHFFMF_00887	CDS	1113	lptG		COG0795	Lipopolysaccharide export system permease protein LptG
FGCHFFMF_00888	CDS	1173				hypothetical protein
FGCHFFMF_00889	CDS	846				hypothetical protein
FGCHFFMF_00890	CDS	252				hypothetical protein
FGCHFFMF_00891	CDS	684	lolD_1	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
FGCHFFMF_00892	CDS	876	ilvE_1	2.6.1.42	COG0115	Branched-chain-amino-acid aminotransferase
FGCHFFMF_00893	CDS	1908				hypothetical protein
FGCHFFMF_00894	CDS	1317				hypothetical protein
FGCHFFMF_00895	CDS	390				hypothetical protein
FGCHFFMF_00896	CDS	2613	secA		COG0653	Protein translocase subunit SecA
FGCHFFMF_00897	CDS	3594				hypothetical protein
FGCHFFMF_00898	CDS	975				hypothetical protein
FGCHFFMF_00899	CDS	1263	murA	2.5.1.7	COG0766	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
FGCHFFMF_00900	CDS	639	clsB	2.7.8.-		Cardiolipin synthase B
FGCHFFMF_00901	CDS	1290	hisD	1.1.1.23	COG0141	Histidinol dehydrogenase
FGCHFFMF_00902	CDS	1077	hisC	2.6.1.9	COG0079	Histidinol-phosphate aminotransferase
FGCHFFMF_00903	CDS	600	hisB_1	4.2.1.19	COG0131	Imidazoleglycerol-phosphate dehydratase
FGCHFFMF_00904	CDS	639	hisH	4.3.2.10		Imidazole glycerol phosphate synthase subunit HisH
FGCHFFMF_00905	CDS	777	hisA	5.3.1.16	COG0106	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase
FGCHFFMF_00906	CDS	762	hisF	4.3.2.10	COG0107	Imidazole glycerol phosphate synthase subunit HisF
FGCHFFMF_00907	CDS	384	hisI	3.5.4.19		Phosphoribosyl-AMP cyclohydrolase
FGCHFFMF_00908	CDS	1446	trpE	4.1.3.27	COG0147	Anthranilate synthase component 1
FGCHFFMF_00909	CDS	609	pabA	2.6.1.85	COG0512	Aminodeoxychorismate/anthranilate synthase component 2
FGCHFFMF_00910	CDS	1830				hypothetical protein
FGCHFFMF_00911	CDS	1284	dtnK	2.7.1.219	COG3395	D-threonate kinase
FGCHFFMF_00912	CDS	687				hypothetical protein
FGCHFFMF_00913	CDS	1281	hflX		COG2262	GTPase HflX
FGCHFFMF_00914	CDS	978	iolX	1.1.1.370	COG0673	scyllo-inositol 2-dehydrogenase (NAD(+))
FGCHFFMF_00915	CDS	1149	lpxB	2.4.1.182	COG0763	Lipid-A-disaccharide synthase
FGCHFFMF_00916	CDS	672				hypothetical protein
FGCHFFMF_00917	CDS	1389	waaA	2.4.99.12	COG1519	3-deoxy-D-manno-octulosonic acid transferase
FGCHFFMF_00918	CDS	1044	lpxK	2.7.1.130	COG1663	Tetraacyldisaccharide 4'-kinase
FGCHFFMF_00919	CDS	1020	lpxL_2	2.3.1.241		Lipid A biosynthesis lauroyltransferase
FGCHFFMF_00920	CDS	1506	lnt	2.3.1.269	COG0815	Apolipoprotein N-acyltransferase
FGCHFFMF_00921	CDS	1515	glgA	2.4.1.21	COG0297	Glycogen synthase
FGCHFFMF_00922	tRNA	75				tRNA-Glu(ttc)
FGCHFFMF_00923	CDS	861			COG1373	putative protein
FGCHFFMF_00924	CDS	480				hypothetical protein
FGCHFFMF_00925	CDS	726				hypothetical protein
FGCHFFMF_00926	CDS	1719	deaD	3.6.4.13	COG0513	ATP-dependent RNA helicase DeaD
FGCHFFMF_00927	CDS	492				hypothetical protein
FGCHFFMF_00928	CDS	735				hypothetical protein
FGCHFFMF_00929	CDS	3228				hypothetical protein
FGCHFFMF_00930	CDS	858				hypothetical protein
FGCHFFMF_00931	CDS	1197				hypothetical protein
FGCHFFMF_00932	CDS	309				hypothetical protein
FGCHFFMF_00933	CDS	366	divK_1			Polar-differentiation response regulator DivK
FGCHFFMF_00934	CDS	1182	pleC	2.7.13.3		Non-motile and phage-resistance protein
FGCHFFMF_00935	CDS	1482	rcsC_4	2.7.13.3		Sensor histidine kinase RcsC
FGCHFFMF_00936	CDS	657	cynT	4.2.1.1	COG0288	Carbonic anhydrase 1
FGCHFFMF_00937	CDS	2034				hypothetical protein
FGCHFFMF_00938	CDS	1017				hypothetical protein
FGCHFFMF_00939	CDS	1632	pgi	5.3.1.9	COG0166	Glucose-6-phosphate isomerase
FGCHFFMF_00940	CDS	219				hypothetical protein
FGCHFFMF_00941	CDS	747				hypothetical protein
FGCHFFMF_00942	CDS	2184				hypothetical protein
FGCHFFMF_00943	CDS	441				hypothetical protein
FGCHFFMF_00944	CDS	906				hypothetical protein
FGCHFFMF_00945	CDS	426				hypothetical protein
FGCHFFMF_00946	CDS	1119				hypothetical protein
FGCHFFMF_00947	CDS	552				hypothetical protein
FGCHFFMF_00948	CDS	567				hypothetical protein
FGCHFFMF_00949	CDS	609	resA_1			Thiol-disulfide oxidoreductase ResA
FGCHFFMF_00950	CDS	858				hypothetical protein
FGCHFFMF_00951	CDS	1242	mdtH			Multidrug resistance protein MdtH
FGCHFFMF_00952	CDS	906				hypothetical protein
FGCHFFMF_00953	CDS	573	yyaP		COG0262	putative protein YyaP
FGCHFFMF_00954	CDS	717				hypothetical protein
FGCHFFMF_00955	CDS	951	COQ5_1	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
FGCHFFMF_00956	CDS	222				hypothetical protein
FGCHFFMF_00957	CDS	1242	glyA	2.1.2.1		Serine hydroxymethyltransferase
FGCHFFMF_00958	CDS	453	rpiB	5.3.1.6	COG0698	Ribose-5-phosphate isomerase B
FGCHFFMF_00959	CDS	906				hypothetical protein
FGCHFFMF_00960	CDS	1284	purD	6.3.4.13	COG0151	Phosphoribosylamine--glycine ligase
FGCHFFMF_00961	CDS	561				hypothetical protein
FGCHFFMF_00962	CDS	1593	purH		COG0138	Bifunctional purine biosynthesis protein PurH
FGCHFFMF_00963	CDS	243				hypothetical protein
FGCHFFMF_00964	CDS	297				hypothetical protein
FGCHFFMF_00965	CDS	585	purN	2.1.2.2	COG0299	Phosphoribosylglycinamide formyltransferase
FGCHFFMF_00966	CDS	1830				hypothetical protein
FGCHFFMF_00967	CDS	1782				hypothetical protein
FGCHFFMF_00968	CDS	1059	purM	6.3.3.1	COG0150	Phosphoribosylformylglycinamidine cyclo-ligase
FGCHFFMF_00969	CDS	1461	purF	2.4.2.14	COG0034	Amidophosphoribosyltransferase
FGCHFFMF_00970	CDS	2286	purL	6.3.5.3	COG0046	Phosphoribosylformylglycinamidine synthase subunit PurL
FGCHFFMF_00971	CDS	699	purQ	6.3.5.3	COG0047	Phosphoribosylformylglycinamidine synthase subunit PurQ
FGCHFFMF_00972	CDS	249	purS	6.3.5.3	COG1828	Phosphoribosylformylglycinamidine synthase subunit PurS
FGCHFFMF_00973	CDS	1314	purB	4.3.2.2	COG0015	Adenylosuccinate lyase
FGCHFFMF_00974	CDS	456				hypothetical protein
FGCHFFMF_00975	CDS	447	entH	3.1.2.-		Proofreading thioesterase EntH
FGCHFFMF_00976	CDS	435				hypothetical protein
FGCHFFMF_00977	CDS	666	gph	3.1.3.18	COG0546	Phosphoglycolate phosphatase
FGCHFFMF_00978	CDS	993				hypothetical protein
FGCHFFMF_00979	CDS	1569	rny_2	3.1.-.-	COG1418	Ribonuclease Y
FGCHFFMF_00980	CDS	783	ymdB	3.1.4.16	COG1692	2',3'-cyclic-nucleotide 2'-phosphodiesterase
FGCHFFMF_00981	CDS	564				hypothetical protein
FGCHFFMF_00982	CDS	534				hypothetical protein
FGCHFFMF_00983	CDS	1902				hypothetical protein
FGCHFFMF_00984	CDS	762				hypothetical protein
FGCHFFMF_00985	CDS	1905				hypothetical protein
FGCHFFMF_00986	CDS	840				hypothetical protein
FGCHFFMF_00987	CDS	513				hypothetical protein
FGCHFFMF_00988	CDS	450				hypothetical protein
FGCHFFMF_00989	tRNA	75				tRNA-Asn(gtt)
FGCHFFMF_00990	CDS	582			COG0330	putative protein
FGCHFFMF_00991	CDS	1326	cinA		COG1058	Putative competence-damage inducible protein
FGCHFFMF_00992	CDS	345				hypothetical protein
FGCHFFMF_00993	CDS	582		3.1.4.58	COG1514	RNA 2',3'-cyclic phosphodiesterase
FGCHFFMF_00994	CDS	1815	mrdA_1	3.4.16.4		Peptidoglycan D,D-transpeptidase MrdA
FGCHFFMF_00995	CDS	651				hypothetical protein
FGCHFFMF_00996	CDS	1572	rpoN		COG1508	RNA polymerase sigma-54 factor
FGCHFFMF_00997	CDS	558	hpf			Ribosome hibernation promotion factor
FGCHFFMF_00998	CDS	465	fruA		COG1299	PTS system fructose-specific EIIABC component
FGCHFFMF_00999	CDS	984	hprK	2.7.11.-	COG1493	HPr kinase/phosphorylase
FGCHFFMF_01000	CDS	1290				Gluconeogenesis factor
FGCHFFMF_01001	CDS	408	manX	2.7.1.191	COG2893	PTS system mannose-specific EIIAB component
FGCHFFMF_01002	CDS	492	levE	2.7.1.202	COG3444	PTS system fructose-specific EIIB component
FGCHFFMF_01003	CDS	2121	amyA	3.2.1.1	COG1449	Alpha-amylase 1
FGCHFFMF_01004	CDS	795				hypothetical protein
FGCHFFMF_01005	CDS	792				hypothetical protein
FGCHFFMF_01006	CDS	270	crh		COG1925	HPr-like protein Crh
FGCHFFMF_01007	CDS	1737	ptsI	2.7.3.9	COG1080	Phosphoenolpyruvate-protein phosphotransferase
FGCHFFMF_01008	CDS	3789				hypothetical protein
FGCHFFMF_01009	CDS	702				hypothetical protein
FGCHFFMF_01010	CDS	1194			COG1373	putative protein
FGCHFFMF_01011	CDS	645				hypothetical protein
FGCHFFMF_01012	CDS	1797	lepA	3.6.5.-	COG0481	Elongation factor 4
FGCHFFMF_01013	CDS	693				hypothetical protein
FGCHFFMF_01014	CDS	1146	hemW		COG0635	Heme chaperone HemW
FGCHFFMF_01015	CDS	918				hypothetical protein
FGCHFFMF_01016	CDS	1605		2.4.1.18	COG1543	1,4-alpha-glucan branching enzyme
FGCHFFMF_01017	CDS	615	grpE			Protein GrpE
FGCHFFMF_01018	CDS	1125	dnaJ_2		COG0484	Chaperone protein DnaJ
FGCHFFMF_01019	CDS	858				hypothetical protein
FGCHFFMF_01020	CDS	735	rsmE	2.1.1.193	COG1385	Ribosomal RNA small subunit methyltransferase E
FGCHFFMF_01021	CDS	876	aroE	1.1.1.25	COG0169	Shikimate dehydrogenase (NADP(+))
FGCHFFMF_01022	CDS	660				hypothetical protein
FGCHFFMF_01023	CDS	2382	cbpA_1	2.4.1.20	COG3459	Cellobiose phosphorylase
FGCHFFMF_01024	CDS	1893				hypothetical protein
FGCHFFMF_01025	CDS	1032				hypothetical protein
FGCHFFMF_01026	CDS	768				hypothetical protein
FGCHFFMF_01027	CDS	1941				hypothetical protein
FGCHFFMF_01028	CDS	570				hypothetical protein
FGCHFFMF_01029	CDS	1374				hypothetical protein
FGCHFFMF_01030	CDS	519	yrdA		COG0663	Protein YrdA
FGCHFFMF_01031	CDS	1128				hypothetical protein
FGCHFFMF_01032	CDS	306				hypothetical protein
FGCHFFMF_01033	CDS	333				hypothetical protein
FGCHFFMF_01034	CDS	891				hypothetical protein
FGCHFFMF_01035	CDS	273	spoVS		COG2359	Stage V sporulation protein S
FGCHFFMF_01036	CDS	933	rsmI	2.1.1.198		Ribosomal RNA small subunit methyltransferase I
FGCHFFMF_01037	CDS	825	nadE_2	6.3.1.5	COG0171	NH(3)-dependent NAD(+) synthetase
FGCHFFMF_01038	CDS	1047	bioB	2.8.1.6	COG0502	Biotin synthase
FGCHFFMF_01039	CDS	279				hypothetical protein
FGCHFFMF_01040	CDS	1197		2.6.1.1	COG0436	Aspartate/prephenate aminotransferase
FGCHFFMF_01041	tRNA	86				tRNA-Leu(taa)
FGCHFFMF_01042	tRNA	75				tRNA-Met(cat)
FGCHFFMF_01043	CDS	147				hypothetical protein
FGCHFFMF_01044	CDS	300				hypothetical protein
FGCHFFMF_01045	CDS	348				hypothetical protein
FGCHFFMF_01046	CDS	2178				hypothetical protein
FGCHFFMF_01047	CDS	1212				hypothetical protein
FGCHFFMF_01048	CDS	1329				hypothetical protein
FGCHFFMF_01049	CDS	141				hypothetical protein
FGCHFFMF_01050	CDS	768				hypothetical protein
FGCHFFMF_01051	CDS	336				hypothetical protein
FGCHFFMF_01052	CDS	258				hypothetical protein
FGCHFFMF_01053	CDS	300				hypothetical protein
FGCHFFMF_01054	CDS	441	zraR_1		COG2204	Transcriptional regulatory protein ZraR
FGCHFFMF_01055	CDS	576	sigE		COG1595	ECF RNA polymerase sigma factor SigE
FGCHFFMF_01056	CDS	2742	ndvB	2.4.1.-	COG3459	Cyclic beta-(1,2)-glucan synthase NdvB
FGCHFFMF_01057	CDS	1995				hypothetical protein
FGCHFFMF_01058	CDS	1602				hypothetical protein
FGCHFFMF_01059	CDS	669				hypothetical protein
FGCHFFMF_01060	CDS	204				hypothetical protein
FGCHFFMF_01061	CDS	864		2.7.4.1	COG2326	Polyphosphate:ADP phosphotransferase
FGCHFFMF_01062	CDS	2424	rcsC_5	2.7.13.3		Sensor histidine kinase RcsC
FGCHFFMF_01063	CDS	480				hypothetical protein
FGCHFFMF_01064	CDS	1188				hypothetical protein
FGCHFFMF_01065	CDS	1764	argS	6.1.1.19		Arginine--tRNA ligase
FGCHFFMF_01066	CDS	543				hypothetical protein
FGCHFFMF_01067	CDS	909	araQ		COG0395	L-arabinose transport system permease protein AraQ
FGCHFFMF_01068	CDS	1341				hypothetical protein
FGCHFFMF_01069	CDS	1281				hypothetical protein
FGCHFFMF_01070	CDS	2514				hypothetical protein
FGCHFFMF_01071	CDS	903	ydjH	2.7.1.-	COG0524	putative sugar kinase YdjH
FGCHFFMF_01072	CDS	348	ftsB			Cell division protein FtsB
FGCHFFMF_01073	CDS	807				hypothetical protein
FGCHFFMF_01074	CDS	360				hypothetical protein
FGCHFFMF_01075	CDS	1551				hypothetical protein
FGCHFFMF_01076	CDS	519	aroL	2.7.1.71		Shikimate kinase 2
FGCHFFMF_01077	CDS	1164	aroC	4.2.3.5	COG0082	Chorismate synthase
FGCHFFMF_01078	CDS	2304	sctC_2			Type 3 secretion system secretin
FGCHFFMF_01079	CDS	450				hypothetical protein
FGCHFFMF_01080	CDS	564				hypothetical protein
FGCHFFMF_01081	CDS	555				hypothetical protein
FGCHFFMF_01082	CDS	1104	ftsA_2			Cell division protein FtsA
FGCHFFMF_01083	CDS	669	outO			Type 4 prepilin-like proteins leader peptide-processing enzyme
FGCHFFMF_01084	CDS	213				hypothetical protein
FGCHFFMF_01085	CDS	138	groL1		COG0459	60 kDa chaperonin 1
FGCHFFMF_01086	CDS	963	lnrL_2	3.6.3.-	COG1131	Linearmycin resistance ATP-binding protein LnrL
FGCHFFMF_01087	CDS	768				hypothetical protein
FGCHFFMF_01088	CDS	1545				hypothetical protein
FGCHFFMF_01089	CDS	1323				hypothetical protein
FGCHFFMF_01090	CDS	993	dnaJ_3		COG0484	Chaperone protein DnaJ
FGCHFFMF_01091	CDS	1413	degP_1	3.4.21.107	COG0265	Periplasmic serine endoprotease DegP
FGCHFFMF_01092	CDS	450				hypothetical protein
FGCHFFMF_01093	CDS	645				hypothetical protein
FGCHFFMF_01094	CDS	3039	mdtC_3			Multidrug resistance protein MdtC
FGCHFFMF_01095	CDS	1362				hypothetical protein
FGCHFFMF_01096	CDS	828				hypothetical protein
FGCHFFMF_01097	CDS	909	alx		COG0861	Putative membrane-bound redox modulator Alx
FGCHFFMF_01098	CDS	1176	ugtP	2.4.1.315	COG0707	Processive diacylglycerol beta-glucosyltransferase
FGCHFFMF_01099	CDS	1878	korA	1.2.7.3	COG0674	2-oxoglutarate oxidoreductase subunit KorA
FGCHFFMF_01100	CDS	1029	korB	1.2.7.3	COG1013	2-oxoglutarate oxidoreductase subunit KorB
FGCHFFMF_01101	tRNA	77				tRNA-Met(cat)
FGCHFFMF_01102	CDS	1005	tilS	6.3.4.19		tRNA(Ile)-lysidine synthase
FGCHFFMF_01103	CDS	1872	ftsH	3.4.24.-		ATP-dependent zinc metalloprotease FtsH
FGCHFFMF_01104	CDS	588	folE	3.5.4.16	COG0302	GTP cyclohydrolase 1
FGCHFFMF_01105	CDS	858	folP	2.5.1.15	COG0294	Dihydropteroate synthase
