	locus_tag	ftype	length_bp	gene	EC_number	COG	product	COG_category_ID	COG_name	COG_Gene	COG_pathway	PubMed_ID	PDB_ID	Hexadecimal	COG_category_desc
1017	FGCHFFMF_00976	CDS	435				hypothetical protein								
1018	FGCHFFMF_00977	CDS	666	gph	3.1.3.18	COG0546	Phosphoglycolate phosphatase	C	Phosphoglycolate phosphatase, HAD superfamily	Gph			2NYV	BCFCFC	Energy production and conversion
1019	FGCHFFMF_00978	CDS	993				hypothetical protein								
1020	FGCHFFMF_00979	CDS	1569	rny_2	3.1.-.-	COG1418	Ribonuclease Y	R	HD superfamily phosphodieaserase, includes HD domain of RNase Y	RnaY		19779461	3DTO	E0E0E0	General function prediction only
1021	FGCHFFMF_00979	CDS	1569	rny_2	3.1.-.-	COG1418	Ribonuclease Y	J	HD superfamily phosphodieaserase, includes HD domain of RNase Y	RnaY		19779461	3DTO	FCCCFC	Translation, ribosomal structure and biogenesis
1022	FGCHFFMF_00980	CDS	783	ymdB	3.1.4.16	COG1692	2',3'-cyclic-nucleotide 2'-phosphodiesterase	T	2',3'- and 3',5'-cNMP phosphodiesterase YmdB, calcineurin family	YmdB		24163345	2CV9	FCFCAC	Signal transduction mechanisms
1023	FGCHFFMF_00981	CDS	564				hypothetical protein								
1024	FGCHFFMF_00982	CDS	534				hypothetical protein								
1025	FGCHFFMF_00983	CDS	1902				hypothetical protein								
1026	FGCHFFMF_00984	CDS	762				hypothetical protein								
1027	FGCHFFMF_00985	CDS	1905				hypothetical protein								
1028	FGCHFFMF_00986	CDS	840				hypothetical protein								
1029	FGCHFFMF_00987	CDS	513				hypothetical protein								
1030	FGCHFFMF_00988	CDS	450				hypothetical protein								
1031	FGCHFFMF_00989	tRNA	75				tRNA-Asn(gtt)								
1032	FGCHFFMF_00990	CDS	582			COG0330	putative protein	O	Regulator of protease activity HflC, stomatin/prohibitin superfamily	HflC				9CFCAC	Posttranslational modification, protein turnover, chaperones
1033	FGCHFFMF_00991	CDS	1326	cinA		COG1058	Putative competence-damage inducible protein	L	ADP-ribose pyrophosphatase domain of DNA damage- and competence-inducible protein CinA	CinA		25313401	4CT9	FCDCDC	Replication, recombination and repair
1034	FGCHFFMF_00992	CDS	345				hypothetical protein								
1035	FGCHFFMF_00993	CDS	582		3.1.4.58	COG1514	RNA 2',3'-cyclic phosphodiesterase	J	RNA 2',3'-cyclic phosphodiesterase (2'-5' RNA ligase)	ThpR		25239919	1IUH	FCCCFC	Translation, ribosomal structure and biogenesis
1036	FGCHFFMF_00994	CDS	1815	mrdA_1	3.4.16.4		Peptidoglycan D,D-transpeptidase MrdA								
1037	FGCHFFMF_00995	CDS	651				hypothetical protein								
1038	FGCHFFMF_00996	CDS	1572	rpoN		COG1508	RNA polymerase sigma-54 factor	K	DNA-directed RNA polymerase specialized sigma subunit, sigma54 homolog	RpoN	RNA polymerase		5BYH	FCDCEC	Transcription
1039	FGCHFFMF_00997	CDS	558	hpf			Ribosome hibernation promotion factor								
1040	FGCHFFMF_00998	CDS	465	fruA		COG1299	PTS system fructose-specific EIIABC component	G	Phosphotransferase system, fructose-specific IIC component	FrwC				CCFCFC	Carbohydrate transport and metabolism
1041	FGCHFFMF_00999	CDS	984	hprK	2.7.11.-	COG1493	HPr kinase/phosphorylase	T	Serine kinase of the HPr protein, regulates carbohydrate metabolism	HprK			1JB1	FCFCAC	Signal transduction mechanisms
1042	FGCHFFMF_01000	CDS	1290				Gluconeogenesis factor								
1043	FGCHFFMF_01001	CDS	408	manX	2.7.1.191	COG2893	PTS system mannose-specific EIIAB component	G	Phosphotransferase system, mannose/fructose-specific component IIA	ManX			1PDO	CCFCFC	Carbohydrate transport and metabolism
1044	FGCHFFMF_01002	CDS	492	levE	2.7.1.202	COG3444	PTS system fructose-specific EIIB component	G	Phosphotransferase system, mannose/fructose/N-acetylgalactosamine-specific component IIB	AgaB			1BLE	CCFCFC	Carbohydrate transport and metabolism
1045	FGCHFFMF_01003	CDS	2121	amyA	3.2.1.1	COG1449	Alpha-amylase 1	G	Alpha-amylase/alpha-mannosidase, GH57 family				1K1W	CCFCFC	Carbohydrate transport and metabolism
1046	FGCHFFMF_01004	CDS	795				hypothetical protein								
1047	FGCHFFMF_01005	CDS	792				hypothetical protein								
1048	FGCHFFMF_01006	CDS	270	crh		COG1925	HPr-like protein Crh	G	HPr or related phosphotransfer protein	PtsH			1CM2	CCFCFC	Carbohydrate transport and metabolism
1049	FGCHFFMF_01006	CDS	270	crh		COG1925	HPr-like protein Crh	T	HPr or related phosphotransfer protein	PtsH			1CM2	FCFCAC	Signal transduction mechanisms
1050	FGCHFFMF_01007	CDS	1737	ptsI	2.7.3.9	COG1080	Phosphoenolpyruvate-protein phosphotransferase	G	Phosphoenolpyruvate-protein kinase (PTS system EI component in bacteria)	PtsA			1EZA	CCFCFC	Carbohydrate transport and metabolism
1051	FGCHFFMF_01008	CDS	3789				hypothetical protein								
1052	FGCHFFMF_01009	CDS	702				hypothetical protein								
1053	FGCHFFMF_01010	CDS	1194			COG1373	putative protein	R	Predicted ATPase, AAA+ superfamily					E0E0E0	General function prediction only
1054	FGCHFFMF_01011	CDS	645				hypothetical protein								
1055	FGCHFFMF_01012	CDS	1797	lepA	3.6.5.-	COG0481	Elongation factor 4	J	Translation elongation factor EF-4, membrane-bound GTPase	LepA			3DEG	FCCCFC	Translation, ribosomal structure and biogenesis
1056	FGCHFFMF_01013	CDS	693				hypothetical protein								
1057	FGCHFFMF_01014	CDS	1146	hemW		COG0635	Heme chaperone HemW	H	Coproporphyrinogen-III oxidase HemN  (oxygen-independent) or related Fe-S oxidoreductase	HemN	Heme biosynthesis		1OLT	DCDCFC	Coenzyme transport and metabolism
1058	FGCHFFMF_01015	CDS	918				hypothetical protein								
1059	FGCHFFMF_01016	CDS	1605		2.4.1.18	COG1543	1,4-alpha-glucan branching enzyme	G	Predicted glycosyl hydrolase, contains GH57 and DUF1957 domains				1UFA	CCFCFC	Carbohydrate transport and metabolism
1060	FGCHFFMF_01017	CDS	615	grpE			Protein GrpE								
1061	FGCHFFMF_01018	CDS	1125	dnaJ_2		COG0484	Chaperone protein DnaJ	O	DnaJ-class molecular chaperone with C-terminal Zn finger domain	DnaJ			1BQ0	9CFCAC	Posttranslational modification, protein turnover, chaperones
1062	FGCHFFMF_01019	CDS	858				hypothetical protein								
1063	FGCHFFMF_01020	CDS	735	rsmE	2.1.1.193	COG1385	Ribosomal RNA small subunit methyltransferase E	J	16S rRNA U1498 N3-methylase RsmE	RsmE	16S rRNA modification		1NXZ	FCCCFC	Translation, ribosomal structure and biogenesis
1064	FGCHFFMF_01021	CDS	876	aroE	1.1.1.25	COG0169	Shikimate dehydrogenase (NADP(+))	E	Shikimate 5-dehydrogenase	AroE	Aromatic amino acid biosynthesis		1NPD	DCFCFC	Amino acid transport and metabolism
1065	FGCHFFMF_01022	CDS	660				hypothetical protein								
1066	FGCHFFMF_01023	CDS	2382	cbpA_1	2.4.1.20	COG3459	Cellobiose phosphorylase	G	Cellobiose phosphorylase			17307853	1V7V	CCFCFC	Carbohydrate transport and metabolism
1067	FGCHFFMF_01024	CDS	1893				hypothetical protein								
1068	FGCHFFMF_01025	CDS	1032				hypothetical protein								
1069	FGCHFFMF_01026	CDS	768				hypothetical protein								
1070	FGCHFFMF_01027	CDS	1941				hypothetical protein								
1071	FGCHFFMF_01028	CDS	570				hypothetical protein								
1072	FGCHFFMF_01029	CDS	1374				hypothetical protein								
1073	FGCHFFMF_01030	CDS	519	yrdA		COG0663	Protein YrdA	R	Carbonic anhydrase or acetyltransferase, isoleucine patch superfamily	PaaY			6IVE	E0E0E0	General function prediction only
1074	FGCHFFMF_01031	CDS	1128				hypothetical protein								
1075	FGCHFFMF_01032	CDS	306				hypothetical protein								
1076	FGCHFFMF_01033	CDS	333				hypothetical protein								
1077	FGCHFFMF_01034	CDS	891				hypothetical protein								
1078	FGCHFFMF_01035	CDS	273	spoVS		COG2359	Stage V sporulation protein S	S	Stage V sporulation protein SpoVS, predicted DNA-binding, AlbA superfamily	SpoVS		7559352;18562273	2EH1	CCCCCC	Function unknown
1079	FGCHFFMF_01036	CDS	933	rsmI	2.1.1.198		Ribosomal RNA small subunit methyltransferase I								
1080	FGCHFFMF_01037	CDS	825	nadE_2	6.3.1.5	COG0171	NH(3)-dependent NAD(+) synthetase	H	NH3-dependent NAD+ synthetase	NadE	NAD biosynthesis		3HMQ	DCDCFC	Coenzyme transport and metabolism
1081	FGCHFFMF_01038	CDS	1047	bioB	2.8.1.6	COG0502	Biotin synthase	H	Biotin synthase or related enzyme	BioB	Biotin biosynthesis		1R30	DCDCFC	Coenzyme transport and metabolism
1082	FGCHFFMF_01039	CDS	279				hypothetical protein								
1083	FGCHFFMF_01040	CDS	1197		2.6.1.1	COG0436	Aspartate/prephenate aminotransferase	E	Aspartate/methionine/tyrosine aminotransferase	AspB	Isoleucine, leucine, valine biosynthesis		2O0R	DCFCFC	Amino acid transport and metabolism
1084	FGCHFFMF_01041	tRNA	86				tRNA-Leu(taa)								
1085	FGCHFFMF_01042	tRNA	75				tRNA-Met(cat)								
1086	FGCHFFMF_01043	CDS	147				hypothetical protein								
1087	FGCHFFMF_01044	CDS	300				hypothetical protein								
1088	FGCHFFMF_01045	CDS	348				hypothetical protein								
1089	FGCHFFMF_01046	CDS	2178				hypothetical protein								
1090	FGCHFFMF_01047	CDS	1212				hypothetical protein								
1091	FGCHFFMF_01048	CDS	1329				hypothetical protein								
1092	FGCHFFMF_01049	CDS	141				hypothetical protein								
1093	FGCHFFMF_01050	CDS	768				hypothetical protein								
1094	FGCHFFMF_01051	CDS	336				hypothetical protein								
1095	FGCHFFMF_01052	CDS	258				hypothetical protein								
1096	FGCHFFMF_01053	CDS	300				hypothetical protein								
1097	FGCHFFMF_01054	CDS	441	zraR_1		COG2204	Transcriptional regulatory protein ZraR	T	DNA-binding transcriptional response regulator, NtrC family, contains REC, AAA-type ATPase, and a Fis-type DNA-binding domains	AtoC			1ZY2	FCFCAC	Signal transduction mechanisms
1098	FGCHFFMF_01055	CDS	576	sigE		COG1595	ECF RNA polymerase sigma factor SigE	K	DNA-directed RNA polymerase specialized sigma subunit, sigma24 family	RpoE	RNA polymerase		2Q1Z	FCDCEC	Transcription
1099	FGCHFFMF_01056	CDS	2742	ndvB	2.4.1.-	COG3459	Cyclic beta-(1,2)-glucan synthase NdvB	G	Cellobiose phosphorylase			17307853	1V7V	CCFCFC	Carbohydrate transport and metabolism
1100	FGCHFFMF_01057	CDS	1995				hypothetical protein								
1101	FGCHFFMF_01058	CDS	1602				hypothetical protein								
1102	FGCHFFMF_01059	CDS	669				hypothetical protein								
1103	FGCHFFMF_01060	CDS	204				hypothetical protein								
1104	FGCHFFMF_01061	CDS	864		2.7.4.1	COG2326	Polyphosphate:ADP phosphotransferase	C	Polyphosphate kinase 2, PPK2 family	PPK2			3CZP	BCFCFC	Energy production and conversion
1105	FGCHFFMF_01062	CDS	2424	rcsC_5	2.7.13.3		Sensor histidine kinase RcsC								
1106	FGCHFFMF_01063	CDS	480				hypothetical protein								
1107	FGCHFFMF_01064	CDS	1188				hypothetical protein								
1108	FGCHFFMF_01065	CDS	1764	argS	6.1.1.19		Arginine--tRNA ligase								
1109	FGCHFFMF_01066	CDS	543				hypothetical protein								
1110	FGCHFFMF_01067	CDS	909	araQ		COG0395	L-arabinose transport system permease protein AraQ	G	ABC-type glycerol-3-phosphate transport system, permease component	UgpE			1VR4	CCFCFC	Carbohydrate transport and metabolism
1111	FGCHFFMF_01068	CDS	1341				hypothetical protein								
1112	FGCHFFMF_01069	CDS	1281				hypothetical protein								
1113	FGCHFFMF_01070	CDS	2514				hypothetical protein								
1114	FGCHFFMF_01071	CDS	903	ydjH	2.7.1.-	COG0524	putative sugar kinase YdjH	G	Sugar or nucleoside kinase, ribokinase family	RbsK	Glycolysis		2QCV	CCFCFC	Carbohydrate transport and metabolism
1115	FGCHFFMF_01072	CDS	348	ftsB			Cell division protein FtsB								
1116	FGCHFFMF_01073	CDS	807				hypothetical protein								
1117	FGCHFFMF_01074	CDS	360				hypothetical protein								
1118	FGCHFFMF_01075	CDS	1551				hypothetical protein								
1119	FGCHFFMF_01076	CDS	519	aroL	2.7.1.71		Shikimate kinase 2								
1120	FGCHFFMF_01077	CDS	1164	aroC	4.2.3.5	COG0082	Chorismate synthase	E	Chorismate synthase	AroC	Aromatic amino acid biosynthesis		1Q1L	DCFCFC	Amino acid transport and metabolism
1121	FGCHFFMF_01078	CDS	2304	sctC_2			Type 3 secretion system secretin								
1122	FGCHFFMF_01079	CDS	450				hypothetical protein								
1123	FGCHFFMF_01080	CDS	564				hypothetical protein								
1124	FGCHFFMF_01081	CDS	555				hypothetical protein								
1125	FGCHFFMF_01082	CDS	1104	ftsA_2			Cell division protein FtsA								
1126	FGCHFFMF_01083	CDS	669	outO			Type 4 prepilin-like proteins leader peptide-processing enzyme								
1127	FGCHFFMF_01084	CDS	213				hypothetical protein								
1128	FGCHFFMF_01085	CDS	138	groL1		COG0459	60 kDa chaperonin 1	O	Chaperonin GroEL (HSP60 family)	GroEL			1AON	9CFCAC	Posttranslational modification, protein turnover, chaperones
1129	FGCHFFMF_01086	CDS	963	lnrL_2	3.6.3.-	COG1131	Linearmycin resistance ATP-binding protein LnrL	V	ABC-type multidrug transport system, ATPase component	CcmA			5DO7	FCFCBC	Defense mechanisms
1130	FGCHFFMF_01087	CDS	768				hypothetical protein								
1131	FGCHFFMF_01088	CDS	1545				hypothetical protein								
1132	FGCHFFMF_01089	CDS	1323				hypothetical protein								
1133	FGCHFFMF_01090	CDS	993	dnaJ_3		COG0484	Chaperone protein DnaJ	O	DnaJ-class molecular chaperone with C-terminal Zn finger domain	DnaJ			1BQ0	9CFCAC	Posttranslational modification, protein turnover, chaperones
1134	FGCHFFMF_01091	CDS	1413	degP_1	3.4.21.107	COG0265	Periplasmic serine endoprotease DegP	O	Periplasmic serine protease, S1-C subfamily, contain C-terminal PDZ domain	DegQ		29686141	2HGA	9CFCAC	Posttranslational modification, protein turnover, chaperones
1135	FGCHFFMF_01092	CDS	450				hypothetical protein								
1136	FGCHFFMF_01093	CDS	645				hypothetical protein								
1137	FGCHFFMF_01094	CDS	3039	mdtC_3			Multidrug resistance protein MdtC								
1138	FGCHFFMF_01095	CDS	1362				hypothetical protein								
1139	FGCHFFMF_01096	CDS	828				hypothetical protein								
1140	FGCHFFMF_01097	CDS	909	alx		COG0861	Putative membrane-bound redox modulator Alx	P	Tellurite resistance membrane protein TerC	TerC				CCCCFC	Inorganic ion transport and metabolism
1141	FGCHFFMF_01098	CDS	1176	ugtP	2.4.1.315	COG0707	Processive diacylglycerol beta-glucosyltransferase	M	UDP-N-acetylglucosamine:LPS N-acetylglucosamine transferase	MurG	Mureine biosynthesis		1F0K	ECFCAC	Cell wall/membrane/envelope biogenesis
1142	FGCHFFMF_01099	CDS	1878	korA	1.2.7.3	COG0674	2-oxoglutarate oxidoreductase subunit KorA	C	Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, alpha subunit	PorA	Pyruvate oxidation		5C4I	BCFCFC	Energy production and conversion
1143	FGCHFFMF_01100	CDS	1029	korB	1.2.7.3	COG1013	2-oxoglutarate oxidoreductase subunit KorB	C	Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, beta subunit	PorB	Pyruvate oxidation		1B0P	BCFCFC	Energy production and conversion
1144	FGCHFFMF_01101	tRNA	77				tRNA-Met(cat)								
1145	FGCHFFMF_01102	CDS	1005	tilS	6.3.4.19		tRNA(Ile)-lysidine synthase								
1146	FGCHFFMF_01103	CDS	1872	ftsH	3.4.24.-		ATP-dependent zinc metalloprotease FtsH								
1147	FGCHFFMF_01104	CDS	588	folE	3.5.4.16	COG0302	GTP cyclohydrolase 1	H	GTP cyclohydrolase I	FolE	Folate biosynthesis	19767425;30692671	1A8R	DCDCFC	Coenzyme transport and metabolism
1148	FGCHFFMF_01105	CDS	858	folP	2.5.1.15	COG0294	Dihydropteroate synthase	H	Dihydropteroate synthase	FolP	Folate biosynthesis		1AD1	DCDCFC	Coenzyme transport and metabolism
1149	FGCHFFMF_01106	CDS	741	nfrA2	1.5.1.39	COG0778	FMN reductase [NAD(P)H]	C	Nitroreductase	NfnB	Pyrimidine degradation		1F5V	BCFCFC	Energy production and conversion
1150	FGCHFFMF_01107	CDS	1350	glmM_1	5.4.2.10	COG1109	Phosphoglucosamine mutase	G	Phosphomannomutase	ManB			6MNV	CCFCFC	Carbohydrate transport and metabolism
1151	FGCHFFMF_01108	CDS	306				hypothetical protein								
1152	FGCHFFMF_01109	CDS	333				hypothetical protein								
1153	FGCHFFMF_01110	CDS	735	pdxJ	2.6.99.2	COG0854	Pyridoxine 5'-phosphate synthase	H	Pyridoxine 5'-phosphate synthase PdxJ	PdxJ	Pyridoxal phosphate biosynthesis		1HO1	DCDCFC	Coenzyme transport and metabolism
1154	FGCHFFMF_01111	CDS	2598	alaS	6.1.1.7	COG0013	Alanine--tRNA ligase	J	Alanyl-tRNA synthetase	AlaS	Aminoacyl-tRNA synthetases		2ZZE	FCCCFC	Translation, ribosomal structure and biogenesis
1155	FGCHFFMF_01112	CDS	465		3.1.-.-	COG0816	Putative pre-16S rRNA nuclease	K	YqgF/RuvX protein, pre-16S rRNA maturation RNase/Holliday junction resolvase/anti-termination factor	YqgF		25545592;26817626	1IV0	FCDCEC	Transcription
1156	FGCHFFMF_01112	CDS	465		3.1.-.-	COG0816	Putative pre-16S rRNA nuclease	L	YqgF/RuvX protein, pre-16S rRNA maturation RNase/Holliday junction resolvase/anti-termination factor	YqgF		25545592;26817626	1IV0	FCDCDC	Replication, recombination and repair
1157	FGCHFFMF_01112	CDS	465		3.1.-.-	COG0816	Putative pre-16S rRNA nuclease	J	YqgF/RuvX protein, pre-16S rRNA maturation RNase/Holliday junction resolvase/anti-termination factor	YqgF		25545592;26817626	1IV0	FCCCFC	Translation, ribosomal structure and biogenesis
1158	FGCHFFMF_01113	CDS	996	mltG	4.2.2.-	COG1559	Endolytic murein transglycosylase	M	Endolytic transglycosylase MltG, terminates peptidoglycan polymerization	MltG		26507882	2R1F	ECFCAC	Cell wall/membrane/envelope biogenesis
1159	FGCHFFMF_01114	CDS	444				hypothetical protein								
1160	FGCHFFMF_01115	CDS	672				hypothetical protein								
1161	FGCHFFMF_01116	CDS	759	mtgA	2.4.1.129		Biosynthetic peptidoglycan transglycosylase								
1162	FGCHFFMF_01117	CDS	759				hypothetical protein								
1163	FGCHFFMF_01118	CDS	1365	dprE1	1.1.98.3	COG0277	Decaprenylphosphoryl-beta-D-ribose oxidase	C	FAD/FMN-containing lactate dehydrogenase/glycolate oxidase	GlcD			1AHU	BCFCFC	Energy production and conversion
1164	FGCHFFMF_01119	CDS	735		1.-.-.-	COG1028	putative oxidoreductase	I	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family	FabG	Fatty acid biosynthesis		6L1H	DCCCFC	Lipid transport and metabolism
1165	FGCHFFMF_01120	CDS	1335	fpgS	6.3.2.17		Folylpolyglutamate synthase								
1166	FGCHFFMF_01121	CDS	1104	msmX	7.5.2.-	COG3839	Oligosaccharides import ATP-binding protein MsmX	G	ABC-type sugar transport system, ATPase component MalK	MalK			2ONK	CCFCFC	Carbohydrate transport and metabolism
1167	FGCHFFMF_01122	CDS	2259	lptD_2			LPS-assembly protein LptD								
1168	FGCHFFMF_01123	CDS	1302	tuaD	1.1.1.22	COG1004	UDP-glucose 6-dehydrogenase TuaD	M	UDP-glucose 6-dehydrogenase	Ugd			1DLI	ECFCAC	Cell wall/membrane/envelope biogenesis
1169	FGCHFFMF_01124	CDS	573				hypothetical protein								
1170	FGCHFFMF_01125	CDS	1002	rfbB	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase	M	dTDP-D-glucose 4,6-dehydratase	RfbB			1G1A	ECFCAC	Cell wall/membrane/envelope biogenesis
1171	FGCHFFMF_01126	CDS	999				hypothetical protein								
1172	FGCHFFMF_01127	CDS	1107	desV	2.6.1.106		dTDP-3-amino-3,4,6-trideoxy-alpha-D-glucose transaminase								
1173	FGCHFFMF_01128	CDS	1245				hypothetical protein								
1174	FGCHFFMF_01129	CDS	1305				hypothetical protein								
1175	FGCHFFMF_01130	CDS	1182				hypothetical protein								
1176	FGCHFFMF_01131	CDS	1416	wcaJ	2.7.8.31	COG2148	UDP-glucose:undecaprenyl-phosphate glucose-1-phosphate transferase	M	Sugar transferase involved in LPS biosynthesis (colanic, teichoic acid)	WcaJ			5W7L	ECFCAC	Cell wall/membrane/envelope biogenesis
1177	FGCHFFMF_01132	CDS	1083				hypothetical protein								
1178	FGCHFFMF_01133	CDS	630				hypothetical protein								
1179	FGCHFFMF_01134	CDS	1497				hypothetical protein								
1180	FGCHFFMF_01135	CDS	1413				hypothetical protein								
1181	FGCHFFMF_01136	CDS	1056	gmd	4.2.1.47	COG1089	GDP-mannose 4,6-dehydratase	M	GDP-D-mannose dehydratase	Gmd			1DB3	ECFCAC	Cell wall/membrane/envelope biogenesis
1182	FGCHFFMF_01137	CDS	969	fcl	1.1.1.271	COG0451	GDP-L-fucose synthase	M	Nucleoside-diphosphate-sugar epimerase	WcaG			2X4G	ECFCAC	Cell wall/membrane/envelope biogenesis
1183	FGCHFFMF_01138	CDS	726				hypothetical protein								
1184	FGCHFFMF_01139	CDS	924		5.1.3.2	COG1088	UDP-glucose 4-epimerase	M	dTDP-D-glucose 4,6-dehydratase	RfbB			1G1A	ECFCAC	Cell wall/membrane/envelope biogenesis
1185	FGCHFFMF_01140	CDS	1023	cugP	2.7.7.9		UTP--glucose-1-phosphate uridylyltransferase								
1186	FGCHFFMF_01141	CDS	777	phnP_1	3.1.4.55	COG1235	Phosphoribosyl 1,2-cyclic phosphate phosphodiesterase	P	Phosphoribosyl 1,2-cyclic phosphate phosphodiesterase	PhnP			6B9V	CCCCFC	Inorganic ion transport and metabolism
1187	FGCHFFMF_01142	tRNA	76				tRNA-Lys(ctt)								
1188	FGCHFFMF_01143	tRNA	75				tRNA-Gly(gcc)								
1189	FGCHFFMF_01144	CDS	1137	gbsB	1.1.1.-	COG1454	Choline dehydrogenase	C	Alcohol dehydrogenase, class IV	EutG			6AHC	BCFCFC	Energy production and conversion
1190	FGCHFFMF_01145	CDS	315	lsrG	5.3.1.32	COG1359	(4S)-4-hydroxy-5-phosphonooxypentane-2,3-dione isomerase	C	Quinol monooxygenase YgiN	YgiN		15613473	1R6Y	BCFCFC	Energy production and conversion
1191	FGCHFFMF_01146	CDS	2403				hypothetical protein								
1192	FGCHFFMF_01147	CDS	2976				hypothetical protein								
1193	FGCHFFMF_01148	CDS	2289	hypF	6.2.-.-	COG0068	Carbamoyltransferase HypF	O	Hydrogenase maturation factor HypF (carbamoyltransferase)	HypF			3TSP	9CFCAC	Posttranslational modification, protein turnover, chaperones
1194	FGCHFFMF_01149	CDS	1800				hypothetical protein								
1195	FGCHFFMF_01150	CDS	288				hypothetical protein								
1196	FGCHFFMF_01151	CDS	405				hypothetical protein								
1197	FGCHFFMF_01152	CDS	231				hypothetical protein								
1198	FGCHFFMF_01153	CDS	819	COQ5_2	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial								
1199	FGCHFFMF_01154	CDS	405				hypothetical protein								
1200	FGCHFFMF_01155	CDS	1329				hypothetical protein								
1201	FGCHFFMF_01156	CDS	2148	patZ	2.3.1.-	COG0454	Peptidyl-lysine N-acetyltransferase PatZ	R	N-acetyltransferase, GNAT superfamily (includes histone acetyltransferase HPA2)	PhnO				E0E0E0	General function prediction only
1202	FGCHFFMF_01156	CDS	2148	patZ	2.3.1.-	COG0454	Peptidyl-lysine N-acetyltransferase PatZ	K	N-acetyltransferase, GNAT superfamily (includes histone acetyltransferase HPA2)	PhnO				FCDCEC	Transcription
1203	FGCHFFMF_01157	CDS	957	rsgA	3.6.1.-	COG1162	Small ribosomal subunit biogenesis GTPase RsgA	J	Ribosome biogenesis GTPase RsgA	RsgA			1T9H	FCCCFC	Translation, ribosomal structure and biogenesis
1204	FGCHFFMF_01158	CDS	1176				hypothetical protein								
1205	FGCHFFMF_01159	CDS	1803				hypothetical protein								
1206	FGCHFFMF_01160	CDS	1947				hypothetical protein								
1207	FGCHFFMF_01161	CDS	1068	hypE	4.2.1.-		Carbamoyl dehydratase HypE								
1208	FGCHFFMF_01162	CDS	1092	hypD		COG0409	Hydrogenase maturation factor HypD	O	Hydrogenase maturation factor HypD	HypD			2Z1D	9CFCAC	Posttranslational modification, protein turnover, chaperones
1209	FGCHFFMF_01163	CDS	993	pyrD_2	1.3.-.-		Dihydroorotate dehydrogenase								
1210	FGCHFFMF_01164	CDS	3591	nifJ	1.2.7.-	COG0674	Pyruvate-flavodoxin oxidoreductase	C	Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, alpha subunit	PorA	Pyruvate oxidation		5C4I	BCFCFC	Energy production and conversion
1211	FGCHFFMF_01165	CDS	927				hypothetical protein								
1212	FGCHFFMF_01166	CDS	939				hypothetical protein								
1213	FGCHFFMF_01167	CDS	909				hypothetical protein								
1214	FGCHFFMF_01168	CDS	636				hypothetical protein								
1215	FGCHFFMF_01169	CDS	966	lacF			Lactose transport system permease protein LacF								
1216	FGCHFFMF_01170	CDS	1107				hypothetical protein								
1217	FGCHFFMF_01171	CDS	1332	hom	1.1.1.3	COG0460	Homoserine dehydrogenase	E	Homoserine dehydrogenase	ThrA	Methionine biosynthesis	29124164	5AVO	DCFCFC	Amino acid transport and metabolism
1218	FGCHFFMF_01172	CDS	1089	thrC	4.2.3.1	COG0498	Threonine synthase	E	Threonine synthase	ThrC	Threonine biosynthesis		1VB3	DCFCFC	Amino acid transport and metabolism
1219	FGCHFFMF_01173	CDS	1083				hypothetical protein								
1220	FGCHFFMF_01174	CDS	1197	apgM			2,3-bisphosphoglycerate-independent phosphoglycerate mutase								
1221	FGCHFFMF_01175	CDS	1221		2.7.2.4	COG0527	Aspartate kinase	E	Aspartate kinase	MetL1	Lysine biosynthesis		2CDQ	DCFCFC	Amino acid transport and metabolism
1222	FGCHFFMF_01176	CDS	135				hypothetical protein								
1223	FGCHFFMF_01177	CDS	1590	cimA	2.3.1.182	COG0119	(R)-citramalate synthase	E	Isopropylmalate/homocitrate/citramalate synthases	LeuA	Isoleucine, leucine, valine biosynthesis		4JN6	DCFCFC	Amino acid transport and metabolism
1224	FGCHFFMF_01178	CDS	825	racE	5.1.1.3	COG0796	Glutamate racemase 1	M	Glutamate racemase	MurI	Mureine biosynthesis		1B73	ECFCAC	Cell wall/membrane/envelope biogenesis
1225	FGCHFFMF_01179	CDS	558				hypothetical protein								
1226	FGCHFFMF_01180	CDS	1218				hypothetical protein								
1227	FGCHFFMF_01181	CDS	1374	dnaA_1		COG0593	Chromosomal replication initiator protein DnaA	L	Chromosomal replication initiation ATPase DnaA	DnaA			1L8Q	FCDCDC	Replication, recombination and repair
1228	FGCHFFMF_01182	CDS	462				hypothetical protein								
1229	FGCHFFMF_01183	tRNA	77				tRNA-Cys(gca)								
1230	FGCHFFMF_01184	CDS	939	mdh	1.1.1.37		Malate dehydrogenase								
1231	FGCHFFMF_01185	CDS	1179	sucC	6.2.1.5	COG0045	Succinate--CoA ligase [ADP-forming] subunit beta	C	Succinyl-CoA synthetase, beta subunit	SucC	TCA cycle		1SCU	BCFCFC	Energy production and conversion
1232	FGCHFFMF_01186	CDS	876	sucD	6.2.1.5	COG0074	Succinate--CoA ligase [ADP-forming] subunit alpha	C	Succinyl-CoA synthetase, alpha subunit	SucD	TCA cycle		1CQI	BCFCFC	Energy production and conversion
