	seqname	contigLen	totalAvgDepth	080a2ed5-d944-4915-9236-64933bc4da51.inter.fastq.sam.sorted.bam	080a2ed5-d944-4915-9236-64933bc4da51.inter.fastq.sam.sorted.bam-var	bin	%GC	bin_y	dsDNAphage	ssDNA	lavidaviridae	NCLDV	max_score	max_score_group	length	hallmark	viral	cellular	full-partial
1644	NODE_1645_length_7814_cov_5.246552	7814	8.18346	8.18346	10.499	bin.012	60.0							Bacteria?					
1693	NODE_1694_length_7669_cov_5.714999	7669	8.97127	8.97127	11.4088	bin.012	62.0							Bacteria?					
1734	NODE_1735_length_7527_cov_4.467479	7527	7.09787	7.09787	9.54448	bin.012	63.0							Bacteria?					
1817	NODE_1818_length_7287_cov_4.779038	7287	7.53734	7.53734	5.89691	bin.012	66.0							Bacteria?					
1818	NODE_1819_length_7279_cov_4.994324	7279	7.9063	7.9063	12.0436	bin.012	62.0							Bacteria?					
1935	NODE_1936_length_6945_cov_4.944993	6945	7.76924	7.76924	10.0829	bin.012	63.0							Bacteria?					
1982	NODE_1983_length_6819_cov_4.869899	6819	7.5593	7.5593	10.2148	bin.012	65.0							Bacteria?					
1986	NODE_1987_length_6786_cov_4.847868	6786	7.71082	7.71082	8.01484	bin.012	63.0							Bacteria?					
2003	NODE_2004_length_6762_cov_4.943641	6762	7.80384	7.80384	8.24185	bin.012	61.0							Bacteria?					
2008	NODE_2009_length_6753_cov_5.152135	6753	8.05679	8.05679	9.85258	bin.012	65.0							Bacteria?					
2012	NODE_2013_length_6749_cov_4.925306	6749	7.84073	7.84073	8.29463	bin.012	62.0							Bacteria?					
2056	NODE_2057_length_6607_cov_4.528541	6607	7.06675	7.06675	7.2535	bin.012	63.0							Bacteria?					
2076	NODE_2077_length_6561_cov_4.292807	6561	6.75386	6.75386	7.63706	bin.012	66.0							Bacteria?					
2117	NODE_2118_length_6476_cov_4.598505	6476	7.25767	7.25767	10.5189	bin.012	64.0							Bacteria?					
2176	NODE_2177_length_6375_cov_5.507595	6375	8.19647	8.19647	9.71607	bin.012	65.0							Bacteria?					
2187	NODE_2188_length_6364_cov_4.955460	6364	7.84406	7.84406	11.415	bin.012	62.0							Bacteria?					
2240	NODE_2241_length_6271_cov_5.202381	6271	8.10832	8.10832	9.93878	bin.012	62.0							Bacteria?					
2252	NODE_2253_length_6246_cov_5.062026	6246	7.92618	7.92618	5.988	bin.012	63.0							Bacteria?					
2261	NODE_2262_length_6226_cov_4.994004	6226	7.934	7.934	12.6493	bin.012	66.0							Bacteria?					
2273	NODE_2274_length_6196_cov_4.695815	6196	7.40638	7.40638	7.74561	bin.012	67.0							Bacteria?					
2325	NODE_2326_length_6081_cov_4.959177	6081	7.78756	7.78756	7.137	bin.012	59.0							Bacteria?					
2351	NODE_2352_length_6026_cov_4.546307	6026	7.2272	7.2272	8.45338	bin.012	62.0							Bacteria?					
2412	NODE_2413_length_5928_cov_4.691980	5928	7.45656	7.45656	8.18489	bin.012	63.0							Bacteria?					
2426	NODE_2427_length_5898_cov_5.233613	5898	8.36848	8.36848	9.78541	bin.012	63.0							Bacteria?					
2470	NODE_2471_length_5832_cov_5.719231	5832	9.03854	9.03854	10.8105	bin.012	55.0							Bacteria?					
2494	NODE_2495_length_5791_cov_5.352162	5791	8.50966	8.50966	9.83592	bin.012	62.0							Bacteria?					
2497	NODE_2498_length_5787_cov_4.698360	5787	7.38638	7.38638	11.1204	bin.012	62.0							Bacteria?					
2555	NODE_2556_length_5687_cov_4.939631	5687	7.28156	7.28156	8.87286	bin.012	62.0							Bacteria?					
2592	NODE_2593_length_5621_cov_4.454366	5621	6.99598	6.99598	7.74661	bin.012	61.0							Bacteria?					
2611	NODE_2612_length_5598_cov_4.454627	5598	7.14923	7.14923	7.0079	bin.012	63.0							Bacteria?					
2628	NODE_2629_length_5574_cov_4.798877	5574	7.57559	7.57559	8.93039	bin.012	61.0							Bacteria?					
2650	NODE_2651_length_5544_cov_5.158134	5544	8.21505	8.21505	8.89578	bin.012	63.0							Bacteria?					
2678	NODE_2679_length_5505_cov_4.708257	5505	7.43399	7.43399	7.03275	bin.012	55.0							Bacteria?					
2700	NODE_2701_length_5476_cov_3.950009	5476	6.16485	6.16485	6.12416	bin.012	63.0							Bacteria?					
2716	NODE_2717_length_5458_cov_4.488617	5458	7.18726	7.18726	8.38384	bin.012	61.0							Bacteria?					
2728	NODE_2729_length_5443_cov_5.337788	5443	8.2543	8.2543	9.32199	bin.012	60.0	bin.012	0.513	0.013	0.0	0.507	0.513	dsDNAphage	5344.0	0.0	33.3	11.1	|full
2747	NODE_2748_length_5420_cov_5.483504	5420	8.75446	8.75446	10.2589	bin.012	62.0							Bacteria?					
2776	NODE_2777_length_5375_cov_5.007143	5375	7.87636	7.87636	6.89157	bin.012	64.0							Bacteria?					
2819	NODE_2820_length_5323_cov_4.585991	5323	7.30679	7.30679	8.89939	bin.012	59.0							Bacteria?					
2822	NODE_2823_length_5320_cov_4.890788	5320	7.83888	7.83888	9.51218	bin.012	59.0	bin.012	0.08	0.0	0.08	0.767	0.767	NCLDV	5318.0	0.0	20.0	0.0	|full
2895	NODE_2896_length_5228_cov_5.480379	5228	8.68196	8.68196	9.24831	bin.012	64.0							Bacteria?					
2964	NODE_2965_length_5144_cov_4.805266	5144	7.61974	7.61974	8.71251	bin.012	62.0							Bacteria?					
198	NODE_199_length_42863_cov_5.817534	42863	9.16922	9.16922	10.5163	bin.013	35.0	bin.013	0.993	0.267	0.293	0.66	0.993	dsDNAphage	42862.0	3.0	40.9	0.0	|full
316	NODE_317_length_28971_cov_4.975654	28971	7.60962	7.60962	9.89487	bin.013	34.0	bin.013	0.987	0.0	0.007	0.12	0.987	dsDNAphage	28816.0	8.0	58.5	9.8	|full
319	NODE_320_length_28846_cov_4.375465	28846	6.85657	6.85657	7.11939	bin.013	35.0							Bacteria?					
325	NODE_326_length_28323_cov_4.517476	28323	7.15156	7.15156	7.91539	bin.013	35.0							Bacteria?					
354	NODE_355_length_26404_cov_4.995104	26404	7.70027	7.70027	7.6229	bin.013	30.0							Bacteria?					
398	NODE_399_length_24774_cov_4.733687	24774	7.46698	7.46698	8.30523	bin.013	34.0	bin.013	0.993	0.0	0.02	0.373	0.993	dsDNAphage	24607.0	4.0	42.1	5.3	|full
505	NODE_506_length_20062_cov_4.461638	20062	6.96138	6.96138	6.63856	bin.013	33.0							Bacteria?					
509	NODE_510_length_19983_cov_5.126957	19983	8.06862	8.06862	9.19714	bin.013	29.0							Bacteria?					
523	NODE_524_length_19613_cov_4.188772	19613	6.61512	6.61512	7.34815	bin.013	36.0							Bacteria?					
566	NODE_567_length_18135_cov_4.693197	18135	7.39144	7.39144	9.3814	bin.013	35.0	bin.013	1.0	0.347	0.34	0.353	1.0	dsDNAphage	17708.0	7.0	66.7	0.0	|full
580	NODE_581_length_17691_cov_5.853935	17691	7.40237	7.40237	9.53099	bin.013	35.0							Bacteria?					
582	NODE_583_length_17597_cov_4.884221	17597	7.65478	7.65478	9.14078	bin.013	34.0							Bacteria?					
610	NODE_611_length_16951_cov_5.096473	16951	7.95292	7.95292	12.2651	bin.013	35.0	bin.013	0.087	0.007	0.313	0.6	0.6	NCLDV	16948.0	0.0	21.1	15.8	|full
613	NODE_614_length_16892_cov_5.220645	16892	8.22297	8.22297	13.1791	bin.013	28.0	bin.013	0.993	0.693	1.0	0.993	1.0	lavidaviridae	16891.0	1.0	40.0	0.0	|full
623	NODE_624_length_16648_cov_5.050624	16648	7.83762	7.83762	10.9892	bin.013	35.0							Bacteria?					
651	NODE_652_length_16055_cov_4.422250	16055	6.96322	6.96322	8.34396	bin.013	28.0							Bacteria?					
666	NODE_667_length_15845_cov_4.795693	15845	7.6028	7.6028	7.28079	bin.013	33.0	bin.013	0.987	0.007	0.02	0.1	0.987	dsDNAphage	15842.0	1.0	37.9	3.4	|full
671	NODE_672_length_15793_cov_5.314081	15793	8.34054	8.34054	7.84977	bin.013	36.0							Bacteria?					
672	NODE_673_length_15784_cov_4.653252	15784	7.21376	7.21376	8.12225	bin.013	31.0							Bacteria?					
715	NODE_716_length_14873_cov_5.057970	14873	7.78632	7.78632	9.48147	bin.013	36.0	bin.013	0.987	0.06	0.067	0.387	0.987	dsDNAphage	14870.0	1.0	52.4	0.0	|full
728	NODE_729_length_14672_cov_5.078333	14672	7.36063	7.36063	7.96843	bin.013	33.0							Bacteria?					
772	NODE_773_length_14051_cov_5.202844	14051	8.17459	8.17459	7.82864	bin.013	32.0							Bacteria?					
777	NODE_778_length_14000_cov_4.818501	14000	7.53913	7.53913	8.00371	bin.013	35.0							Bacteria?					
801	NODE_802_length_13633_cov_4.903815	13633	7.44945	7.44945	10.2712	bin.013	33.0							Bacteria?					
805	NODE_806_length_13545_cov_4.914529	13545	7.74879	7.74879	9.91305	bin.013	30.0							Bacteria?					
840	NODE_841_length_13154_cov_4.975571	13154	7.85112	7.85112	7.56342	bin.013	29.0							Bacteria?					
871	NODE_872_length_12726_cov_5.016652	12726	7.69227	7.69227	8.9986	bin.013	36.0	bin.013	0.807	0.113	0.087	0.16	0.807	dsDNAphage	12723.0	0.0	50.0	0.0	|full
874	NODE_875_length_12697_cov_5.227417	12697	8.19088	8.19088	10.3281	bin.013	31.0							Bacteria?					
878	NODE_879_length_12644_cov_4.297005	12644	6.66792	6.66792	8.64709	bin.013	32.0	bin.013	0.327	0.013	0.367	0.72	0.72	NCLDV	12170.0	0.0	44.4	0.0	|full
888	NODE_889_length_12508_cov_5.076849	12508	7.50113	7.50113	13.2798	bin.013	29.0							Bacteria?					
908	NODE_909_length_12321_cov_4.790478	12321	7.49823	7.49823	8.71743	bin.013	36.0							Bacteria?					
927	NODE_928_length_12169_cov_4.964504	12169	7.66744	7.66744	8.75137	bin.013	29.0							Bacteria?					
952	NODE_953_length_11911_cov_4.985746	11911	7.8325	7.8325	9.10312	bin.013	36.0							Bacteria?					
969	NODE_970_length_11732_cov_4.967714	11732	7.74711	7.74711	8.80085	bin.013	32.0							Bacteria?					
1008	NODE_1009_length_11270_cov_5.342309	11270	7.84442	7.84442	7.77547	bin.013	36.0							Bacteria?					
1009	NODE_1010_length_11265_cov_5.445049	11265	8.52155	8.52155	11.9186	bin.013	34.0							Bacteria?					
1199	NODE_1200_length_9892_cov_4.628647	9892	7.19719	7.19719	8.1749	bin.013	29.0							Bacteria?					
1246	NODE_1247_length_9613_cov_4.403850	9613	6.80429	6.80429	9.62816	bin.013	39.0							Bacteria?					
1287	NODE_1288_length_9333_cov_3.745204	9333	5.9584	5.9584	4.56847	bin.013	29.0							Bacteria?					
1305	NODE_1306_length_9206_cov_4.679707	9206	7.35479	7.35479	7.76287	bin.013	33.0							Bacteria?					
1320	NODE_1321_length_9148_cov_4.552073	9148	7.19871	7.19871	7.59516	bin.013	38.0							Bacteria?					
1398	NODE_1399_length_8772_cov_5.156361	8772	8.13698	8.13698	7.64228	bin.013	36.0							Bacteria?					
1473	NODE_1474_length_8421_cov_4.757829	8421	7.38701	7.38701	8.5241	bin.013	33.0							Bacteria?					
1510	NODE_1511_length_8259_cov_5.317528	8259	8.36564	8.36564	5.99475	bin.013	35.0							Bacteria?					
1653	NODE_1654_length_7784_cov_5.359037	7784	8.42363	8.42363	10.532	bin.013	31.0	bin.013	0.187	0.013	0.347	0.94	0.94	NCLDV	7718.0	0.0	42.9	0.0	|full
1665	NODE_1666_length_7737_cov_4.255793	7737	6.68907	6.68907	8.13151	bin.013	31.0							Bacteria?					
1726	NODE_1727_length_7560_cov_4.139241	7560	6.50904	6.50904	7.0373	bin.013	30.0							Bacteria?					
1770	NODE_1771_length_7431_cov_4.585141	7431	7.24365	7.24365	8.82484	bin.013	30.0	bin.013	0.84	0.153	0.173	0.747	0.84	dsDNAphage	7006.0	1.0	66.7	0.0	|full
1801	NODE_1802_length_7364_cov_4.735258	7364	7.48863	7.48863	9.87635	bin.013	33.0							Bacteria?					
1908	NODE_1909_length_7020_cov_4.897631	7020	7.63042	7.63042	9.08112	bin.013	36.0							Bacteria?					
1940	NODE_1941_length_6918_cov_5.225120	6918	7.53856	7.53856	8.33021	bin.013	31.0							Bacteria?					
1971	NODE_1972_length_6854_cov_7.117811	6854	5.95167	5.95167	9.52572	bin.013	30.0							Bacteria?					
1981	NODE_1982_length_6819_cov_5.000887	6819	7.90913	7.90913	9.81685	bin.013	29.0	bin.013	0.38	0.387	0.813	0.953	0.953	NCLDV	6531.0	0.0	30.0	0.0	|full
2104	NODE_2105_length_6493_cov_4.913016	6493	7.75469	7.75469	7.41089	bin.013	33.0							Bacteria?					
2127	NODE_2128_length_6448_cov_4.316440	6448	6.56097	6.56097	11.0108	bin.013	31.0	bin.013	0.467	0.073	0.633	0.9	0.9	NCLDV	5893.0	0.0	57.1	0.0	|full
2322	NODE_2323_length_6092_cov_4.450389	6092	6.73898	6.73898	6.19594	bin.013	29.0							Bacteria?					
2383	NODE_2384_length_5984_cov_4.306628	5984	6.82431	6.82431	5.71806	bin.013	33.0							Bacteria?					
2399	NODE_2400_length_5952_cov_4.264880	5952	6.76456	6.76456	8.07767	bin.013	27.0							Bacteria?					
2447	NODE_2448_length_5867_cov_4.515141	5867	7.1088	7.1088	9.06582	bin.013	35.0							Bacteria?					
2535	NODE_2536_length_5722_cov_4.545968	5722	7.15524	7.15524	7.7868	bin.013	34.0							Bacteria?					
2638	NODE_2639_length_5565_cov_3.990200	5565	6.2397	6.2397	6.87644	bin.013	35.0							Bacteria?					
2706	NODE_2707_length_5466_cov_5.531140	5466	7.1883	7.1883	6.7888	bin.013	32.0							Bacteria?					
2721	NODE_2722_length_5453_cov_5.347721	5453	7.78012	7.78012	5.29762	bin.013	35.0	bin.013	0.987	0.713	0.76	0.907	0.987	dsDNAphage	5451.0	5.0	100.0	0.0	|full
2795	NODE_2796_length_5345_cov_4.087524	5345	6.03022	6.03022	6.9642	bin.013	31.0							Bacteria?					
2871	NODE_2872_length_5262_cov_7.932975	5262	6.08588	6.08588	9.87638	bin.013	31.0							Bacteria?					
2993	NODE_2994_length_5094_cov_3.988093	5094	6.32342	6.32342	5.51282	bin.013	36.0							Bacteria?					
3033	NODE_3034_length_5049_cov_4.451342	5049	7.06226	7.06226	9.27759	bin.013	35.0							Bacteria?					
3062	NODE_3063_length_5015_cov_5.102621	5015	8.10175	8.10175	12.6839	bin.013	33.0							Bacteria?					
3070	NODE_3071_length_5009_cov_4.952160	5009	7.79132	7.79132	12.1778	bin.013	32.0							Bacteria?					
16	NODE_17_length_216371_cov_18.980394	216371	29.7763	29.7763	62.3195	bin.014	49.0	bin.014	1.0	0.007	0.013	0.06	1.0	dsDNAphage	216316.0	14.0	22.8	2.3	|full
660	NODE_661_length_15886_cov_4.048891	15886	6.36426	6.36426	5.82142	bin.015	52.0	bin.015	1.0	0.353	0.727	0.14	1.0	dsDNAphage	15885.0	3.0	44.4	0.0	|full
744	NODE_745_length_14419_cov_3.868978	14419	6.15229	6.15229	7.27088	bin.015	54.0	bin.015	1.0	0.02	0.073	0.133	1.0	dsDNAphage	14418.0	5.0	52.9	5.9	|full
818	NODE_819_length_13404_cov_4.003596	13404	6.33371	6.33371	7.72625	bin.015	52.0	bin.015	1.0	0.18	0.307	0.373	1.0	dsDNAphage	13403.0	1.0	44.4	0.0	|full
944	NODE_945_length_11993_cov_3.731948	11993	5.92054	5.92054	6.97194	bin.015	50.0	bin.015	0.853	0.82	0.24	0.133	0.853	dsDNAphage	11984.0	0.0	16.7	0.0	|full
946	NODE_947_length_11982_cov_3.732540	11982	5.88396	5.88396	6.49232	bin.015	52.0	bin.015	1.0	0.453	0.353	0.247	1.0	dsDNAphage	11828.0	1.0	17.4	0.0	|full
955	NODE_956_length_11871_cov_4.140826	11871	6.60311	6.60311	7.5974	bin.015	51.0	bin.015	1.0	0.133	0.053	0.447	1.0	dsDNAphage	11863.0	1.0	16.7	0.0	|full
1082	NODE_1083_length_10645_cov_3.968178	10645	6.2304	6.2304	7.96949	bin.015	52.0	bin.015	0.987	0.32	0.747	0.693	0.987	dsDNAphage	10643.0	3.0	71.4	0.0	|full
1191	NODE_1192_length_9952_cov_4.028898	9952	6.3789	6.3789	6.82737	bin.015	52.0	bin.015	0.947	0.14	0.107	0.367	0.947	dsDNAphage	9881.0	0.0	5.9	0.0	|full
1206	NODE_1207_length_9877_cov_3.344838	9877	5.23368	5.23368	5.41684	bin.015	52.0	bin.015	0.887	0.693	0.42	0.24	0.887	dsDNAphage	9875.0	0.0	61.5	0.0	|full
1359	NODE_1360_length_8956_cov_3.644871	8956	5.6859	5.6859	5.08928	bin.015	53.0	bin.015	1.0	0.173	0.14	0.52	1.0	dsDNAphage	8955.0	1.0	46.2	0.0	|full
1493	NODE_1494_length_8340_cov_3.412070	8340	5.32344	5.32344	5.14478	bin.015	54.0	bin.015	0.993	0.753	1.0	0.78	1.0	lavidaviridae	8338.0	0.0	66.7	0.0	|full
1540	NODE_1541_length_8140_cov_3.726902	8140	5.9776	5.9776	6.38846	bin.015	54.0	bin.015	0.993	0.433	0.88	0.727	0.993	dsDNAphage	8136.0	1.0	66.7	0.0	|full
1588	NODE_1589_length_7969_cov_3.555092	7969	5.64778	5.64778	5.20347	bin.015	53.0	bin.015	0.787	0.32	0.413	0.427	0.787	dsDNAphage	7966.0	0.0	80.0	0.0	|full
1593	NODE_1594_length_7960_cov_3.609488	7960	5.70051	5.70051	4.85897	bin.015	54.0	bin.015	1.0	0.78	0.733	0.547	1.0	dsDNAphage	7957.0	1.0	60.0	0.0	|full
1964	NODE_1965_length_6871_cov_3.625000	6871	5.67936	5.67936	6.27331	bin.015	53.0	bin.015	0.773	0.007	0.1	0.04	0.773	dsDNAphage	6870.0	0.0	45.5	9.1	|full
2024	NODE_2025_length_6704_cov_3.539931	6704	5.63015	5.63015	4.08607	bin.015	54.0	bin.015	0.74	0.92	0.88	0.327	0.92	ssDNA	6693.0	0.0	66.7	0.0	|full
2302	NODE_2303_length_6134_cov_3.947360	6134	6.21207	6.21207	6.32019	bin.015	53.0	bin.015	0.973	0.66	0.653	0.213	0.973	dsDNAphage	6132.0	0.0	45.5	0.0	|full
2545	NODE_2546_length_5698_cov_4.226298	5698	6.61518	6.61518	6.69779	bin.015	50.0	bin.015	0.967	0.853	0.247	0.227	0.967	dsDNAphage	5544.0	0.0	14.3	0.0	|full
2782	NODE_2783_length_5370_cov_3.387582	5370	5.38391	5.38391	5.18427	bin.015	54.0	bin.015	0.887	0.8	0.66	0.82	0.887	dsDNAphage	5369.0	0.0	100.0	0.0	|full
2789	NODE_2790_length_5357_cov_2.817616	5357	4.48204	4.48204	3.13215	bin.015	56.0	bin.015	1.0	0.373	0.527	0.347	1.0	dsDNAphage	5355.0	1.0	80.0	0.0	|full
2839	NODE_2840_length_5305_cov_3.805524	5305	6.04656	6.04656	9.08935	bin.015	54.0							Bacteria?					
2900	NODE_2901_length_5225_cov_3.430174	5225	5.41734	5.41734	4.5641	bin.015	51.0	bin.015	0.847	0.053	0.207	0.227	0.847	dsDNAphage	5223.0	0.0	27.3	0.0	|full
2903	NODE_2904_length_5220_cov_4.066215	5220	6.48935	6.48935	5.70507	bin.015	52.0	bin.015	0.82	0.94	0.787	0.693	0.94	ssDNA	5220.0	0.0	100.0	0.0	|full
109	NODE_110_length_63050_cov_4.657020	63050	7.3118	7.3118	9.09569	bin.016	53.0							Bacteria?					
171	NODE_172_length_46551_cov_4.469739	46551	7.05834	7.05834	7.36261	bin.016	55.0							Bacteria?					
172	NODE_173_length_46471_cov_4.964150	46471	7.81663	7.81663	9.63078	bin.016	51.0							Bacteria?					
177	NODE_178_length_45949_cov_4.225629	45949	6.64095	6.64095	7.80425	bin.016	52.0							Bacteria?					
183	NODE_184_length_45398_cov_4.519683	45398	7.11446	7.11446	7.64986	bin.016	55.0							Bacteria?					
193	NODE_194_length_43543_cov_4.438328	43543	6.99143	6.99143	8.66771	bin.016	53.0							Bacteria?					
204	NODE_205_length_42511_cov_3.863977	42511	6.08418	6.08418	6.80456	bin.016	55.0							Bacteria?					
209	NODE_210_length_41394_cov_4.179492	41394	6.5869	6.5869	7.58596	bin.016	50.0	bin.016	1.0	0.0	0.033	0.02	1.0	dsDNAphage	41210.0	7.0	58.9	10.7	|full
212	NODE_213_length_40796_cov_4.250264	40796	6.71188	6.71188	7.80344	bin.016	49.0	bin.016	0.9	0.0	0.0	0.007	0.9	dsDNAphage	23059.0	4.0	14.7	44.1	|0_partial
226	NODE_227_length_38961_cov_3.985298	38961	6.28742	6.28742	7.19433	bin.016	52.0							Bacteria?					
227	NODE_228_length_38897_cov_4.123037	38897	6.51849	6.51849	7.70856	bin.016	48.0							Bacteria?					
240	NODE_241_length_37710_cov_3.954189	37710	6.24686	6.24686	6.87622	bin.016	55.0							Bacteria?					
246	NODE_247_length_37074_cov_4.020260	37074	6.3498	6.3498	7.27844	bin.016	48.0							Bacteria?					
262	NODE_263_length_34586_cov_4.217659	34586	6.68013	6.68013	8.76033	bin.016	53.0							Bacteria?					
273	NODE_274_length_33406_cov_4.984348	33406	7.82445	7.82445	9.09934	bin.016	49.0							Bacteria?					
283	NODE_284_length_31973_cov_3.936869	31973	6.17651	6.17651	7.26795	bin.016	56.0							Bacteria?					
289	NODE_290_length_31656_cov_4.357046	31656	6.91579	6.91579	7.10529	bin.016	56.0							Bacteria?					
290	NODE_291_length_31568_cov_4.276267	31568	6.7885	6.7885	8.54629	bin.016	51.0							Bacteria?					
308	NODE_309_length_29511_cov_3.876256	29511	6.16195	6.16195	6.43122	bin.016	53.0							Bacteria?					
310	NODE_311_length_29374_cov_4.313380	29374	6.83277	6.83277	7.86746	bin.016	54.0							Bacteria?					
312	NODE_313_length_29306_cov_5.226727	29306	8.13181	8.13181	9.64269	bin.016	49.0							Bacteria?					
314	NODE_315_length_29016_cov_4.270951	29016	6.76665	6.76665	8.28536	bin.016	53.0							Bacteria?					
322	NODE_323_length_28561_cov_4.040413	28561	6.3789	6.3789	6.97025	bin.016	57.0							Bacteria?					
326	NODE_327_length_28276_cov_4.169803	28276	6.58163	6.58163	7.19382	bin.016	54.0							Bacteria?					
327	NODE_328_length_28216_cov_4.191790	28216	6.61127	6.61127	8.6519	bin.016	53.0							Bacteria?					
330	NODE_331_length_28124_cov_3.895650	28124	6.16297	6.16297	6.35261	bin.016	53.0							Bacteria?					
332	NODE_333_length_27977_cov_3.893990	27977	6.04169	6.04169	6.79936	bin.016	53.0							Bacteria?					
337	NODE_338_length_27625_cov_4.115415	27625	6.46082	6.46082	7.17027	bin.016	52.0							Bacteria?					
340	NODE_341_length_27533_cov_4.554043	27533	7.21451	7.21451	8.34447	bin.016	48.0							Bacteria?					
349	NODE_350_length_26637_cov_4.371454	26637	6.86137	6.86137	9.07125	bin.016	56.0							Bacteria?					
351	NODE_352_length_26532_cov_4.687162	26532	7.25442	7.25442	8.75239	bin.016	52.0	bin.016	0.907	0.0	0.007	0.093	0.907	dsDNAphage	13271.0	1.0	19.2	46.2	|0_partial
356	NODE_357_length_26351_cov_4.363706	26351	6.91138	6.91138	6.95228	bin.016	53.0							Bacteria?					
360	NODE_361_length_26302_cov_4.451099	26302	7.04814	7.04814	9.99296	bin.016	51.0							Bacteria?					
366	NODE_367_length_25948_cov_3.753640	25948	5.92887	5.92887	7.10924	bin.016	56.0							Bacteria?					
370	NODE_371_length_25898_cov_4.003637	25898	6.31529	6.31529	7.38651	bin.016	54.0							Bacteria?					
372	NODE_373_length_25718_cov_4.173129	25718	6.59786	6.59786	7.07224	bin.016	51.0							Bacteria?					
376	NODE_377_length_25643_cov_4.037244	25643	6.38038	6.38038	7.1923	bin.016	56.0							Bacteria?					
378	NODE_379_length_25567_cov_4.623511	25567	7.3096	7.3096	7.54397	bin.016	54.0							Bacteria?					
381	NODE_382_length_25399_cov_4.023438	25399	6.34675	6.34675	6.69961	bin.016	54.0							Bacteria?					
383	NODE_384_length_25373_cov_5.232483	25373	8.27082	8.27082	11.3961	bin.016	48.0							Bacteria?					
386	NODE_387_length_25182_cov_4.639949	25182	7.31108	7.31108	7.80042	bin.016	50.0							Bacteria?					
390	NODE_391_length_24961_cov_4.739179	24961	7.43263	7.43263	10.1212	bin.016	51.0							Bacteria?					
392	NODE_393_length_24871_cov_3.720745	24871	5.91275	5.91275	6.92267	bin.016	53.0							Bacteria?					
393	NODE_394_length_24862_cov_3.938888	24862	6.22876	6.22876	6.46239	bin.016	54.0							Bacteria?					
399	NODE_400_length_24721_cov_3.784116	24721	5.9906	5.9906	6.22456	bin.016	55.0							Bacteria?					
400	NODE_401_length_24703_cov_4.338810	24703	6.85411	6.85411	8.79494	bin.016	52.0							Bacteria?					
401	NODE_402_length_24667_cov_4.010726	24667	6.32076	6.32076	6.39483	bin.016	57.0							Bacteria?					
409	NODE_410_length_24132_cov_4.616688	24132	7.28863	7.28863	8.64937	bin.016	50.0							Bacteria?					
412	NODE_413_length_24119_cov_5.554729	24119	8.77921	8.77921	9.56596	bin.016	48.0							Bacteria?					
414	NODE_415_length_24097_cov_4.432826	24097	6.96576	6.96576	7.98702	bin.016	56.0							Bacteria?					
420	NODE_421_length_23874_cov_3.411982	23874	5.36684	5.36684	5.48223	bin.016	55.0							Bacteria?					
421	NODE_422_length_23856_cov_4.294189	23856	6.74154	6.74154	7.85423	bin.016	51.0	bin.016	0.747	0.0	0.013	0.1	0.747	dsDNAphage	23855.0	2.0	32.0	32.0	|full
424	NODE_425_length_23760_cov_4.124067	23760	6.53295	6.53295	7.09045	bin.016	55.0							Bacteria?					
425	NODE_426_length_23717_cov_4.296763	23717	6.78211	6.78211	7.45366	bin.016	56.0							Bacteria?					
428	NODE_429_length_23559_cov_4.565180	23559	7.18544	7.18544	7.80945	bin.016	56.0							Bacteria?					
445	NODE_446_length_22677_cov_4.052648	22677	6.40507	6.40507	7.57063	bin.016	53.0							Bacteria?					
451	NODE_452_length_22174_cov_3.751661	22174	5.92699	5.92699	5.96505	bin.016	54.0							Bacteria?					
453	NODE_454_length_22107_cov_4.005895	22107	6.32422	6.32422	7.09965	bin.016	53.0							Bacteria?					
462	NODE_463_length_21765_cov_4.849286	21765	7.5969	7.5969	9.11393	bin.016	51.0							Bacteria?					
468	NODE_469_length_21621_cov_4.092321	21621	6.44139	6.44139	9.85357	bin.016	52.0							Bacteria?					
477	NODE_478_length_21171_cov_4.050009	21171	6.42015	6.42015	7.12874	bin.016	56.0							Bacteria?					
493	NODE_494_length_20478_cov_4.550115	20478	7.14837	7.14837	8.34434	bin.016	52.0							Bacteria?					
496	NODE_497_length_20387_cov_4.883681	20387	7.71982	7.71982	10.5653	bin.016	51.0							Bacteria?					
498	NODE_499_length_20342_cov_4.408439	20342	6.86916	6.86916	7.99839	bin.016	50.0							Bacteria?					
502	NODE_503_length_20218_cov_4.482765	20218	7.05212	7.05212	9.35281	bin.016	56.0							Bacteria?					
519	NODE_520_length_19661_cov_4.266347	19661	6.69089	6.69089	7.22885	bin.016	51.0							Bacteria?					
534	NODE_535_length_19171_cov_4.633762	19171	7.30529	7.30529	7.0913	bin.016	49.0	bin.016	1.0	0.027	0.027	0.033	1.0	dsDNAphage	17805.0	1.0	51.4	11.4	|full
543	NODE_544_length_18894_cov_3.895430	18894	6.12004	6.12004	6.03177	bin.016	55.0							Bacteria?					
549	NODE_550_length_18692_cov_3.845683	18692	6.05862	6.05862	6.99669	bin.016	56.0							Bacteria?					
551	NODE_552_length_18664_cov_3.688860	18664	5.84342	5.84342	6.95932	bin.016	57.0							Bacteria?					
556	NODE_557_length_18478_cov_4.049232	18478	6.42001	6.42001	6.98243	bin.016	54.0							Bacteria?					
561	NODE_562_length_18247_cov_4.327342	18247	6.9065	6.9065	6.50714	bin.016	53.0							Bacteria?					
